Months.Since.1Jan1840,Year.Month.Day,tic.gm-2
1697,1981-07-01,0.0013288274254178519
1698,1981-08-01,0.0014174613949791662
1699,1981-09-01,0.0014872629731214556
1700,1981-10-01,0.0015400228541290583
1701,1981-11-01,0.0015822428533511777
1702,1981-12-01,0.001615566878943786
1703,1982-01-01,0.0020882508642948165
1704,1982-02-01,0.002029668301337342
1705,1982-03-01,0.0019780759617630105
1706,1982-04-01,0.0019345062510441571
1707,1982-05-01,0.0019517042147107668
1708,1982-06-01,0.0019553901613418743
1709,1982-07-01,0.0019392063078362616
1710,1982-08-01,0.0019157094143014606
1711,1982-09-01,0.0018851783365034585
1712,1982-10-01,0.0018532005958774845
1713,1982-11-01,0.001821290832040165
1714,1982-12-01,0.0017876065655764008
1715,1983-01-01,0.0026909345919478318
1716,1983-02-01,0.0024258335161010188
1717,1983-03-01,0.002193287908242243
1718,1983-04-01,0.002032136480827517
1719,1983-05-01,0.0019376396143985027
1720,1983-06-01,0.0019317863064318872
1721,1983-07-01,0.0019114827065313696
1722,1983-08-01,0.0018719871116187389
1723,1983-09-01,0.001828627954960757
1724,1983-10-01,0.0017869553044800339
1725,1983-11-01,0.0017540938069890153
1726,1983-12-01,0.001726718505287797
1727,1984-01-01,0.001602205883489812
1728,1984-02-01,0.0015982902821929617
1729,1984-03-01,0.0015754916356094195
1730,1984-04-01,0.0015705736319911027
1731,1984-05-01,0.0015981012537197342
1732,1984-06-01,0.0016667801166562553
1733,1984-07-01,0.0017043758212666735
1734,1984-08-01,0.0017168963599055167
1735,1984-09-01,0.001717580950344594
1736,1984-10-01,0.0017085882750147669
1737,1984-11-01,0.0016991370876209503
1738,1984-12-01,0.0016867917648238663
1739,1985-01-01,0.0014819101452943502
1740,1985-02-01,0.0014903901125057919
1741,1985-03-01,0.0014983495147670844
1742,1985-04-01,0.0015152952548647348
1743,1985-05-01,0.001542481221705757
1744,1985-06-01,0.0016396212399552358
1745,1985-07-01,0.001691664544347014
1746,1985-08-01,0.0017134728336711882
1747,1985-09-01,0.001720636955085489
1748,1985-10-01,0.0017195966148271418
1749,1985-11-01,0.001713750463917998
1750,1985-12-01,0.0017006125473576733
1751,1986-01-01,0.002849698267333113
1752,1986-02-01,0.0024248891946143233
1753,1986-03-01,0.002096657371796054
1754,1986-04-01,0.001926589140649297
1755,1986-05-01,0.0018725997559886794
1756,1986-06-01,0.0018136185401534117
1757,1986-07-01,0.0017469316952530255
1758,1986-08-01,0.0016882227534221871
1759,1986-09-01,0.001640209020946613
1760,1986-10-01,0.0015974230934554408
1761,1986-11-01,0.0015635693636797533
1762,1986-12-01,0.0015372155329172901
1763,1987-01-01,0.001657334443517665
1764,1987-02-01,0.0015727972985248278
1765,1987-03-01,0.0014863274140368237
1766,1987-04-01,0.0014543181756328525
1767,1987-05-01,0.0014442831848805425
1768,1987-06-01,0.0015327256744634944
1769,1987-07-01,0.0015628763776901738
1770,1987-08-01,0.0015556664782329407
1771,1987-09-01,0.0015364049589441822
1772,1987-10-01,0.0015144415212448499
1773,1987-11-01,0.001495302308368057
1774,1987-12-01,0.0014786083109398925
1775,1988-01-01,0.0012576774448860096
1776,1988-02-01,0.001316636428827262
1777,1988-03-01,0.0013400428445624537
1778,1988-04-01,0.0013713209045108851
1779,1988-05-01,0.0014639337415993583
1780,1988-06-01,0.001567331733719883
1781,1988-07-01,0.001605646484595993
1782,1988-08-01,0.0016136970250543322
1783,1988-09-01,0.001608464844792546
1784,1988-10-01,0.0015959254057936708
1785,1988-11-01,0.001586058749289321
1786,1988-12-01,0.0015731087823159066
1787,1989-01-01,0.0016102869053052984
1788,1989-02-01,0.0015628695246927534
1789,1989-03-01,0.0014966739271404187
1790,1989-04-01,0.0014838517883065485
1791,1989-05-01,0.0015371343569854448
1792,1989-06-01,0.001586300764898558
1793,1989-07-01,0.001599857112598214
1794,1989-08-01,0.001595282507295825
1795,1989-09-01,0.0015851045387629637
1796,1989-10-01,0.0015701928482278553
1797,1989-11-01,0.0015520430364794268
1798,1989-12-01,0.0015309112795964996
1799,1990-01-01,0.002992856642533702
1800,1990-02-01,0.0021049874876099355
1801,1990-03-01,0.0016168086260388809
1802,1990-04-01,0.0013720876020017058
1803,1990-05-01,0.0014094524135814066
1804,1990-06-01,0.00137745846230141
1805,1990-07-01,0.0013298133892310588
1806,1990-08-01,0.0012932665036970146
1807,1990-09-01,0.001269491129531851
1808,1990-10-01,0.001250660032689359
1809,1990-11-01,0.0012300183733328683
1810,1990-12-01,0.0012119964773593022
1811,1991-01-01,3.3751945310994365e-4
1812,1991-02-01,5.334620556499174e-4
1813,1991-03-01,7.39574718750654e-4
1814,1991-04-01,9.267228509703453e-4
1815,1991-05-01,0.0011304295787756126
1816,1991-06-01,0.0012903169921681988
1817,1991-07-01,0.0014018040560199623
1818,1991-08-01,0.0014825070805601155
1819,1991-09-01,0.0015418862106825967
1820,1991-10-01,0.0015830060757611286
1821,1991-11-01,0.0016065166615368924
1822,1991-12-01,0.0016205771515768717
1823,1992-01-01,0.0018647353859638594
1824,1992-02-01,0.001805243165031284
1825,1992-03-01,0.0017418853097347863
1826,1992-04-01,0.0017158531525058298
1827,1992-05-01,0.0017333165733776077
1828,1992-06-01,0.0017625294654809922
1829,1992-07-01,0.0017703582493988925
1830,1992-08-01,0.0017640214311152003
1831,1992-09-01,0.001751143007973036
1832,1992-10-01,0.0017363795191797046
1833,1992-11-01,0.0017203432568899243
1834,1992-12-01,0.0017046852778455533
1835,1993-01-01,0.0017860614319633766
1836,1993-02-01,0.001739768204240408
1837,1993-03-01,0.0016904804289084945
1838,1993-04-01,0.0016660357024436544
1839,1993-05-01,0.0017122873973698578
1840,1993-06-01,0.001754155546183352
1841,1993-07-01,0.0017616228850580987
1842,1993-08-01,0.0017528018730796795
1843,1993-09-01,0.0017370237770996332
1844,1993-10-01,0.0017156677525792404
1845,1993-11-01,0.0016963921446835068
1846,1993-12-01,0.0016758815221207773
1847,1994-01-01,0.00164287157558704
1848,1994-02-01,0.001627841624917997
1849,1994-03-01,0.0016125032859391562
1850,1994-04-01,0.0016120229669313287
1851,1994-05-01,0.001687722528766889
1852,1994-06-01,0.001756273942831357
1853,1994-07-01,0.001769234982817818
1854,1994-08-01,0.0017599195058266531
1855,1994-09-01,0.001739065988095228
1856,1994-10-01,0.0017148778937058446
1857,1994-11-01,0.001689304675267813
1858,1994-12-01,0.001662781115887185
1859,1995-01-01,0.0011775000084632064
1860,1995-02-01,0.0012506845206219138
1861,1995-03-01,0.0013073647499407702
1862,1995-04-01,0.0013940664434331606
1863,1995-05-01,0.0015143421041342719
1864,1995-06-01,0.0016119385204636856
1865,1995-07-01,0.0016725611135692453
1866,1995-08-01,0.001707231778998319
1867,1995-09-01,0.0017283658089298725
1868,1995-10-01,0.0017396444001567591
1869,1995-11-01,0.0017448851420306837
1870,1995-12-01,0.001742257957951259
1871,1996-01-01,0.002059772838971971
1872,1996-02-01,0.0019868484797024456
1873,1996-03-01,0.0019152242314149294
1874,1996-04-01,0.0018742185092346048
1875,1996-05-01,0.0018942188834286666
1876,1996-06-01,0.0019049027034847132
1877,1996-07-01,0.0018913524774761413
1878,1996-08-01,0.0018695577452332124
1879,1996-09-01,0.001846239621877919
1880,1996-10-01,0.0018207477198546324
1881,1996-11-01,0.0017966586975577483
1882,1996-12-01,0.001771597949990135
1883,1997-01-01,0.0024073317411482083
1884,1997-02-01,0.0021768268572207854
1885,1997-03-01,0.002003078354400967
1886,1997-04-01,0.0019163808127979096
1887,1997-05-01,0.001896474747092991
1888,1997-06-01,0.001876500815198844
1889,1997-07-01,0.0018354437943517293
1890,1997-08-01,0.0017920069607511462
1891,1997-09-01,0.0017491801066519084
1892,1997-10-01,0.0017041635742309025
1893,1997-11-01,0.0016651590433917189
1894,1997-12-01,0.0016344009048837847
1895,1998-01-01,0.0017322559150708327
1896,1998-02-01,0.0016694533266699433
1897,1998-03-01,0.0015973298786462432
1898,1998-04-01,0.001576383725504968
1899,1998-05-01,0.0015609051078859606
1900,1998-06-01,0.0016039904371547389
1901,1998-07-01,0.0016471169892554882
1902,1998-08-01,0.0016614853170285014
1903,1998-09-01,0.0016595375686339084
1904,1998-10-01,0.0016482820029453413
1905,1998-11-01,0.0016344886121545928
1906,1998-12-01,0.0016227344509910588
1907,1999-01-01,0.0019795303719699134
