Months.Since.1Jan1840,Year.Month.Day,tc.gm-2
1758,1986-08-01,0.0016386164546244209
1759,1986-09-01,0.0016142020541121246
1760,1986-10-01,0.001586860286663649
1761,1986-11-01,0.0015629434048515856
1762,1986-12-01,0.0015429220005858974
1763,1987-01-01,0.0012822576456293377
1764,1987-02-01,0.0013352015498175702
1765,1987-03-01,0.0013589255619778325
1766,1987-04-01,0.001401410851675859
1767,1987-05-01,0.00144414695199816
1768,1987-06-01,0.0015548441278839243
1769,1987-07-01,0.0016128500586511533
1770,1987-08-01,0.0016310246975303022
1771,1987-09-01,0.0016307288204498187
1772,1987-10-01,0.0016217104022369522
1773,1987-11-01,0.001610513422263
1774,1987-12-01,0.0015984923152472799
1775,1988-01-01,0.0013654925274162856
1776,1988-02-01,0.001413348164044789
1777,1988-03-01,0.001434895699103567
1778,1988-04-01,0.0014641808003519182
1779,1988-05-01,0.001546002000410224
1780,1988-06-01,0.0016418103531937217
1781,1988-07-01,0.0016864881036660285
1782,1988-08-01,0.0017039052914688143
1783,1988-09-01,0.0017072566034333188
1784,1988-10-01,0.001701720115275271
1785,1988-11-01,0.0016961277024899338
1786,1988-12-01,0.0016865017182515745
1787,1989-01-01,0.0016103485660771016
1788,1989-02-01,0.0016035121602770664
1789,1989-03-01,0.0015745062683828021
1790,1989-04-01,0.0015803155122541494
1791,1989-05-01,0.0016341084392341267
1792,1989-06-01,0.0016865682494633233
1793,1989-07-01,0.0017102275517172161
1794,1989-08-01,0.001716354383925232
1795,1989-09-01,0.0017146760449705172
1796,1989-10-01,0.0017064676924160175
1797,1989-11-01,0.001693389688991678
1798,1989-12-01,0.0016760971453630208
1799,1990-01-01,0.0021772670057970643
1800,1990-02-01,0.001993163212517764
1801,1990-03-01,0.0018455814148320463
1802,1990-04-01,0.001739100682263277
1803,1990-05-01,0.00177021200957622
1804,1990-06-01,0.0017663074472758296
1805,1990-07-01,0.0017365603155637792
1806,1990-08-01,0.0017018721671797515
1807,1990-09-01,0.001670681684177684
1808,1990-10-01,0.0016423112082349
1809,1990-11-01,0.001613513186228483
1810,1990-12-01,0.001587147654959114
1811,1991-01-01,0.0013666935235586636
1812,1991-02-01,0.0014079089781517562
1813,1991-03-01,0.0014577333654749616
1814,1991-04-01,0.00150075883485714
1815,1991-05-01,0.001589439366742184
1816,1991-06-01,0.0016441606622958388
1817,1991-07-01,0.0016616437633199953
1818,1991-08-01,0.001663713783647988
1819,1991-09-01,0.0016593402317886252
1820,1991-10-01,0.0016489951492655807
1821,1991-11-01,0.0016305935859864836
1822,1991-12-01,0.0016119442826952903
1823,1992-01-01,0.0014306833960418507
1824,1992-02-01,0.001451615888613824
1825,1992-03-01,0.001456591346855864
1826,1992-04-01,0.001488140597192594
1827,1992-05-01,0.0015531061535385114
1828,1992-06-01,0.001620025839644175
1829,1992-07-01,0.001655173437688055
1830,1992-08-01,0.0016686652248043817
1831,1992-09-01,0.0016704207253198395
1832,1992-10-01,0.0016666452457862048
1833,1992-11-01,0.001658875925494632
1834,1992-12-01,0.0016495168952970535
1835,1993-01-01,0.0018366669133923694
1836,1993-02-01,0.001759770023113179
1837,1993-03-01,0.0016851663346126495
1838,1993-04-01,0.0016440167274257716
1839,1993-05-01,0.001684990672466754
1840,1993-06-01,0.001721742137261776
1841,1993-07-01,0.0017217353875364854
1842,1993-08-01,0.001706101244902653
1843,1993-09-01,0.001685067522193655
1844,1993-10-01,0.001659737516899813
1845,1993-11-01,0.0016381718447400933
1846,1993-12-01,0.0016161624921372483
1847,1994-01-01,0.00171074268697407
1848,1994-02-01,0.0016548212134487941
1849,1994-03-01,0.0016064444362839559
1850,1994-04-01,0.0015829844081077155
1851,1994-05-01,0.001654694166364792
1852,1994-06-01,0.0017160356985343548
1853,1994-07-01,0.001714541637821791
1854,1994-08-01,0.0016922420173079316
1855,1994-09-01,0.0016612284252627597
1856,1994-10-01,0.0016301070697587444
1857,1994-11-01,0.0016001088108854448
1858,1994-12-01,0.0015708990762685405
1859,1995-01-01,0.00127344009742581
1860,1995-02-01,0.0013304936797176215
1861,1995-03-01,0.0013656658335294291
1862,1995-04-01,0.0014419693447473988
1863,1995-05-01,0.0015621312922027065
1864,1995-06-01,0.0016491305579624266
1865,1995-07-01,0.0016898770244946077
1866,1995-08-01,0.0017021315322095928
1867,1995-09-01,0.0017028306883739256
1868,1995-10-01,0.0016963330796844233
1869,1995-11-01,0.001686909876584832
1870,1995-12-01,0.0016714191872887058
1871,1996-01-01,0.0012987496492996805
1872,1996-02-01,0.0013656793526551129
1873,1996-03-01,0.0014166073670145662
1874,1996-04-01,0.001477419616869097
1875,1996-05-01,0.001579455321943768
1876,1996-06-01,0.0016571540355125763
1877,1996-07-01,0.0016981561362463928
1878,1996-08-01,0.0017200910542267732
1879,1996-09-01,0.0017315112514354
1880,1996-10-01,0.0017335448602597448
1881,1996-11-01,0.001731127929635351
1882,1996-12-01,0.001723155007003634
1883,1997-01-01,0.001813416350129039
1884,1997-02-01,0.0017680514515911762
1885,1997-03-01,0.001735956804693968
1886,1997-04-01,0.001746833155932951
1887,1997-05-01,0.0017929329060083754
1888,1997-06-01,0.0018258639310522096
1889,1997-07-01,0.0018294426312473523
1890,1997-08-01,0.001820373841988568
1891,1997-09-01,0.0018033363880785298
1892,1997-10-01,0.001777930705621454
1893,1997-11-01,0.0017523355195368242
1894,1997-12-01,0.0017299450050071558
1895,1998-01-01,0.0018457802461742064
1896,1998-02-01,0.001793234040740904
1897,1998-03-01,0.0017310392802739316
1898,1998-04-01,0.0017089820446220757
1899,1998-05-01,0.0016922453752348308
1900,1998-06-01,0.0017258042247973086
1901,1998-07-01,0.0017604902887527639
1902,1998-08-01,0.0017728658163423468
1903,1998-09-01,0.0017715680462802713
1904,1998-10-01,0.0017617948645935262
1905,1998-11-01,0.0017490442171712963
1906,1998-12-01,0.0017373760779653932
1907,1999-01-01,0.001973892840006306
1908,1999-02-01,0.0018723428619725222
1909,1999-03-01,0.0017746168495980797
1910,1999-04-01,0.001713172853640356
1911,1999-05-01,0.0016748003800074111
1912,1999-06-01,0.0017053717979135328
1913,1999-07-01,0.0017223976872223152
1914,1999-08-01,0.0017230298984621925
1915,1999-09-01,0.0017164371398228398
1916,1999-10-01,0.0017054112933839877
1917,1999-11-01,0.0016900418162705492
1918,1999-12-01,0.0016743124462968483
1919,2000-01-01,0.0010957821677702452
1920,2000-02-01,0.0011858590547722603
1921,2000-03-01,0.001252909529847291
1922,2000-04-01,0.0013231284699150518
1923,2000-05-01,0.0013960451437362092
1924,2000-06-01,0.0015325906695829263
1925,2000-07-01,0.00161298508335599
1926,2000-08-01,0.0016607066501417493
1927,2000-09-01,0.0016922032223114657
1928,2000-10-01,0.0017122151593037132
1929,2000-11-01,0.0017229978183505772
1930,2000-12-01,0.0017276658004089472
1931,2001-01-01,0.001328576971216835
1932,2001-02-01,0.0013806469368029977
1933,2001-03-01,0.001418023492521205
1934,2001-04-01,0.0014612118999923732
1935,2001-05-01,0.001521718205356399
1936,2001-06-01,0.0015962789941012458
1937,2001-07-01,0.0016501215344073815
1938,2001-08-01,0.0016874110476410944
1939,2001-09-01,0.001716446443463798
1940,2001-10-01,0.0017363408274598182
1941,2001-11-01,0.0017492388979004243
1942,2001-12-01,0.0017556260881797005
1943,2002-01-01,0.0017640033883117086
1944,2002-02-01,0.001763806737546092
1945,2002-03-01,0.0017625000766812076
1946,2002-04-01,0.001757651557454438
1947,2002-05-01,0.001807468162656067
1948,2002-06-01,0.001846715276096989
1949,2002-07-01,0.0018625212708098951
1950,2002-08-01,0.0018681284584320622
1951,2002-09-01,0.001867759106081855
1952,2002-10-01,0.001861895425604487
1953,2002-11-01,0.0018515677640646745
1954,2002-12-01,0.001840364469626973
1955,2003-01-01,0.0017022962678336392
1956,2003-02-01,0.0017047003279093244
1957,2003-03-01,0.0017018318886015866
1958,2003-04-01,0.0017142020674833058
1959,2003-05-01,0.0017785035064955697
1960,2003-06-01,0.0018260441856655391
1961,2003-07-01,0.0018506919879903052
1962,2003-08-01,0.0018616561321821651
1963,2003-09-01,0.0018658548299411034
1964,2003-10-01,0.0018643208140016972
1965,2003-11-01,0.001859116471108032
1966,2003-12-01,0.0018513158581200534
1967,2004-01-01,0.0012204993445478422
1968,2004-02-01,0.0012711991321625274
1969,2004-03-01,0.00132426583519332
1970,2004-04-01,0.001379466455243754
1971,2004-05-01,0.0014431198902680675
1972,2004-06-01,0.0015019167446813067
1973,2004-07-01,0.0015480404789792854
1974,2004-08-01,0.0015841576129190392
1975,2004-09-01,0.0016125886286146515
1976,2004-10-01,0.00163362064341047
1977,2004-11-01,0.0016506577379096171
1978,2004-12-01,0.0016631456630057484
1979,2005-01-01,0.0016534296975032
1980,2005-02-01,0.0016653232034576824
1981,2005-03-01,0.001682689001983452
1982,2005-04-01,0.0017011173950520684
1983,2005-05-01,0.0017365872381870907
1984,2005-06-01,0.0017656125283845444
1985,2005-07-01,0.0017850743087938225
1986,2005-08-01,0.0017973062126722993
1987,2005-09-01,0.0018058118289891875
1988,2005-10-01,0.0018096712763382083
1989,2005-11-01,0.0018100350990309815
1990,2005-12-01,0.0018078431529101944
1991,2006-01-01,0.0019475964888843482
1992,2006-02-01,0.0019316205835104715
1993,2006-03-01,0.0019110766131158012
1994,2006-04-01,0.0019117631423810773
1995,2006-05-01,0.0019279253369617957
1996,2006-06-01,0.0019360289549489765
1997,2006-07-01,0.0019359492917697615
1998,2006-08-01,0.0019313366269384348
1999,2006-09-01,0.0019231251829533475
2000,2006-10-01,0.00191071828323874
2001,2006-11-01,0.0018968628948650649
2002,2006-12-01,0.001880188667857959
2003,2007-01-01,0.00162013430844156
2004,2007-02-01,0.00163141244054681
2005,2007-03-01,0.0016390775739430683
2006,2007-04-01,0.0016660654870309212
2007,2007-05-01,0.0016997891154372563
2008,2007-06-01,0.0017340450696831946
2009,2007-07-01,0.0017561075247169789
2010,2007-08-01,0.001771195515988382
2011,2007-09-01,0.0017820251654636235
2012,2007-10-01,0.001789181114660556
2013,2007-11-01,0.001792324697610786
2014,2007-12-01,0.0017920864999127397
2015,2008-01-01,0.0018143721287583517
2016,2008-02-01,0.0018077969831979837
2017,2008-03-01,0.001794720833907521
2018,2008-04-01,0.0017918011426259768
2019,2008-05-01,0.0018183269487960052
2020,2008-06-01,0.0018426046908051451
2021,2008-07-01,0.0018546627169900597
2022,2008-08-01,0.0018591856103158135
2023,2008-09-01,0.0018603909632224332
2024,2008-10-01,0.001858980330529797
2025,2008-11-01,0.001853812857200857
2026,2008-12-01,0.0018460177151113555
2027,2009-01-01,0.004391460407120211
2028,2009-02-01,0.0038898311636102936
2029,2009-03-01,0.0034562304499428107
2030,2009-04-01,0.003107056458316936
2031,2009-05-01,0.0028786948266993815
2032,2009-06-01,0.0026956007949684798
2033,2009-07-01,0.0025290319096838657
