Months.Since.1Jan1840,Year.Month.Day,bp30to90cm.gm-2
1755,1986-05-01,0.0073612877114738046
1756,1986-06-01,0.007359863549518208
1757,1986-07-01,0.007358460263670258
1758,1986-08-01,0.007357075150636931
1759,1986-09-01,0.007355706264347035
1760,1986-10-01,0.007354352221060088
1761,1986-11-01,0.007353011984336795
1762,1986-12-01,0.007351684700642293
1763,1987-01-01,0.007350369602683692
1764,1987-02-01,0.007349282367216279
1765,1987-03-01,0.007351100001005543
1766,1987-04-01,0.00735296209620837
1767,1987-05-01,0.007354860050471166
1768,1987-06-01,0.007356785570974432
1769,1987-07-01,0.007358731710708362
1770,1987-08-01,0.007360693185305788
1771,1987-09-01,0.007362666173928201
1772,1987-10-01,0.007364647902840123
1773,1987-11-01,0.0073666362416834755
1774,1987-12-01,0.007368629418787515
1775,1988-01-01,0.0073706258649584
1776,1988-02-01,0.00737259846209026
1777,1988-03-01,0.007377955770180676
1778,1988-04-01,0.0073833347230137444
1779,1988-05-01,0.00738872665297603
1780,1988-06-01,0.0073941237658958145
1781,1988-07-01,0.007399519835500207
1782,1988-08-01,0.007404910266159938
1783,1988-09-01,0.00741029178037147
1784,1988-10-01,0.007415662004908358
1785,1988-11-01,0.00742101912625386
1786,1988-12-01,0.007426361670282771
1787,1989-01-01,0.007431688389576312
1788,1989-02-01,0.007436889190625958
1789,1989-03-01,0.00744192607707303
1790,1989-04-01,0.007446938376945001
1791,1989-05-01,0.007451926018966957
1792,1989-06-01,0.007456889056081647
1793,1989-07-01,0.007461827599423138
1794,1989-08-01,0.007466741795123128
1795,1989-09-01,0.007471631824835185
1796,1989-10-01,0.007476497912948712
1797,1989-11-01,0.0074813403305264686
1798,1989-12-01,0.007486159392963296
1799,1990-01-01,0.007490955452560366
1800,1990-02-01,0.007495571117947013
1801,1990-03-01,0.007499304217397923
1802,1990-04-01,0.007503004048959186
1803,1990-05-01,0.007506673496899229
1804,1990-06-01,0.007510315321165065
1805,1990-07-01,0.007513931852023952
1806,1990-08-01,0.00751752491191613
1807,1990-09-01,0.007521095888782541
1808,1990-10-01,0.007524645865804177
1809,1990-11-01,0.007528175740021585
1810,1990-12-01,0.00753168630188054
1811,1991-01-01,0.007535178276161479
1812,1991-02-01,0.007538410611360049
1813,1991-03-01,0.007540419400063251
1814,1991-04-01,0.007542400313491136
1815,1991-05-01,0.007544357045104349
1816,1991-06-01,0.007546292953204054
1817,1991-07-01,0.007548210755693255
1818,1991-08-01,0.00755011249246393
1819,1991-09-01,0.007551999650429358
1820,1991-10-01,0.007553873337551947
1821,1991-11-01,0.007555734431865647
1822,1991-12-01,0.0075575836787420275
1823,1992-01-01,0.007559421740893697
1824,1992-02-01,0.007561004695812191
1825,1992-03-01,0.007561853054608515
1826,1992-04-01,0.007562686031282434
1827,1992-05-01,0.007563506366880941
1828,1992-06-01,0.007564316506081903
1829,1992-07-01,0.007565118386999379
1830,1992-08-01,0.007565913422790744
1831,1992-09-01,0.0075667025996130855
1832,1992-10-01,0.0075674866092405235
1833,1992-11-01,0.00756826596286755
1834,1992-12-01,0.0075690410665307465
1835,1993-01-01,0.007569812261250962
1836,1993-02-01,0.00757033811131703
1837,1993-03-01,0.00757039983644799
1838,1993-04-01,0.007570455231484208
1839,1993-05-01,0.007570506372097988
1840,1993-06-01,0.007570555082783521
1841,1993-07-01,0.007570602768296983
1842,1993-08-01,0.007570650400198234
1843,1993-09-01,0.007570698598563629
1844,1993-10-01,0.007570747742677363
1845,1993-11-01,0.007570798066650521
1846,1993-12-01,0.007570849723379885
1847,1994-01-01,0.00757090281900557
1848,1994-02-01,0.00757075548223557
1849,1994-03-01,0.0075692427709277395
1850,1994-04-01,0.0075677207636739305
1851,1994-05-01,0.007566193251903924
1852,1994-06-01,0.0075646637911273955
1853,1994-07-01,0.007563135255477636
1854,1994-08-01,0.007561609713198496
1855,1994-09-01,0.007560088531469227
1856,1994-10-01,0.007558572578554696
1857,1994-11-01,0.007557062420122237
1858,1994-12-01,0.007555558460250726
