Months.Since.1Jan1840,Year.Month.Day,bp30to90cm.gm-2
1521,1966-11-01,8.634067878708674e-4
1522,1966-12-01,8.590088612076039e-4
1523,1967-01-01,8.546660031954412e-4
1524,1967-02-01,8.924858256921217e-4
1525,1967-03-01,9.281465496242949e-4
1526,1967-04-01,9.552712565963912e-4
1527,1967-05-01,9.710565890209647e-4
1528,1967-06-01,9.77216240727195e-4
1529,1967-07-01,9.761827053642723e-4
1530,1967-08-01,9.718603508060002e-4
1531,1967-09-01,9.686627525891568e-4
1532,1967-10-01,9.655789350462862e-4
1533,1967-11-01,9.626347117470652e-4
1534,1967-12-01,9.608765590409859e-4
1535,1968-01-01,9.594203656073536e-4
1536,1968-02-01,0.0010266247992096805
1537,1968-03-01,0.0010930784167231505
1538,1968-04-01,0.0011523470152621864
1539,1968-05-01,0.0011933313933498797
1540,1968-06-01,0.001214189858076412
1541,1968-07-01,0.0012243310581494219
1542,1968-08-01,0.0012299987586592584
1543,1968-09-01,0.0012326193662732013
1544,1968-10-01,0.0012317574290615929
1545,1968-11-01,0.0012298290888179263
1546,1968-12-01,0.00122960389604954
1547,1969-01-01,0.0012329977956599331
1548,1969-02-01,0.001242747624571839
1549,1969-03-01,0.00126469597197129
1550,1969-04-01,0.001284300848246633
1551,1969-05-01,0.0012962909145208207
1552,1969-06-01,0.0012974745436013027
1553,1969-07-01,0.0012935771468997094
1554,1969-08-01,0.0012891855539735794
1555,1969-09-01,0.0012850272687275734
1556,1969-10-01,0.0012798668968633956
1557,1969-11-01,0.001273189150647004
1558,1969-12-01,0.001267971453767458
1559,1970-01-01,0.0012657737209544676
1560,1970-02-01,0.001328335578101012
1561,1970-03-01,0.0013905869456057576
1562,1970-04-01,0.0014500448570305294
1563,1970-05-01,0.0014925308309997952
1564,1970-06-01,0.0015178654701359096
1565,1970-07-01,0.0015348514834990796
1566,1970-08-01,0.0015464069193133465
1567,1970-09-01,0.0015543533818186215
1568,1970-10-01,0.001558738192468404
1569,1970-11-01,0.0015601531300080233
1570,1970-12-01,0.0015602733520634294
1571,1971-01-01,0.0015596912831739001
1572,1971-02-01,0.001532404255233262
1573,1971-03-01,0.0015195070037066032
1574,1971-04-01,0.0015169909435660475
1575,1971-05-01,0.0015120529725859803
1576,1971-06-01,0.0014999992924046874
1577,1971-07-01,0.001487399580039424
1578,1971-08-01,0.001475862778449641
1579,1971-09-01,0.0014652561705348626
1580,1971-10-01,0.001455036722062329
1581,1971-11-01,0.0014464671139015448
1582,1971-12-01,0.0014387107196842531
1583,1972-01-01,0.0014317264772670984
1584,1972-02-01,0.0015796327473489682
1585,1972-03-01,0.001728488980489978
1586,1972-04-01,0.0018658334120108461
1587,1972-05-01,0.0019823324388687272
1588,1972-06-01,0.0020739319294622283
1589,1972-07-01,0.002147290377484908
1590,1972-08-01,0.0022072511799508124
1591,1972-09-01,0.002256938013780507
1592,1972-10-01,0.0022948612357963907
1593,1972-11-01,0.002320487545921674
1594,1972-12-01,0.002342949075323637
1595,1973-01-01,0.0023668714967501245
1596,1973-02-01,0.0024187142590072095
1597,1973-03-01,0.002479880627534949
1598,1973-04-01,0.0025425754119308
1599,1973-05-01,0.002588380609072038
1600,1973-06-01,0.0026193324553635353
1601,1973-07-01,0.002639950415398295
1602,1973-08-01,0.002656130145107329
1603,1973-09-01,0.0026682308855395125
1604,1973-10-01,0.0026758037570604725
1605,1973-11-01,0.0026796667489850734
1606,1973-12-01,0.002681030926063761
1607,1974-01-01,0.002682124261088188
1608,1974-02-01,0.0025379246450851424
1609,1974-03-01,0.002423806293357597
1610,1974-04-01,0.0023312967525853795
1611,1974-05-01,0.002257860959436159
1612,1974-06-01,0.0021896096711508987
1613,1974-07-01,0.0021291166052815847
1614,1974-08-01,0.002077919209892688
1615,1974-09-01,0.00203650380961769
1616,1974-10-01,0.0019989640933507496
1617,1974-11-01,0.0019675825563637435
1618,1974-12-01,0.0019444430346127093
1619,1975-01-01,0.00192483853006103
1620,1975-02-01,0.0019159475917227926
1621,1975-03-01,0.0019158102703227392
1622,1975-04-01,0.0019224932022216539
1623,1975-05-01,0.0019264378633998204
1624,1975-06-01,0.001925607597211328
1625,1975-07-01,0.0019193309199589345
1626,1975-08-01,0.0019116750902775427
1627,1975-09-01,0.0019060451240265068
1628,1975-10-01,0.001898911629918779
1629,1975-11-01,0.0018912127746551835
1630,1975-12-01,0.0018837441544367337
1631,1976-01-01,0.00187640376704626
1632,1976-02-01,0.001834784722232134
1633,1976-03-01,0.0018090938033089672
1634,1976-04-01,0.0017919061173471704
1635,1976-05-01,0.0017761185010875043
1636,1976-06-01,0.001759274855123423
1637,1976-07-01,0.0017397667373346658
1638,1976-08-01,0.0017227722997120833
1639,1976-09-01,0.0017087666659096053
1640,1976-10-01,0.001693776019857162
1641,1976-11-01,0.0016781179000086716
1642,1976-12-01,0.0016682483696730819
1643,1977-01-01,0.0016623479437980037
1644,1977-02-01,0.0017111771309703207
1645,1977-03-01,0.001762207314118265
1646,1977-04-01,0.001811875397248818
1647,1977-05-01,0.0018508822485702064
1648,1977-06-01,0.0018748299577236536
1649,1977-07-01,0.001888322979611444
1650,1977-08-01,0.001897593071295242
1651,1977-09-01,0.0019033002216099553
1652,1977-10-01,0.001904216841585084
1653,1977-11-01,0.001901616399318881
1654,1977-12-01,0.00190169974639424
1655,1978-01-01,0.0019021906326504236
1656,1978-02-01,0.0018114169911608567
1657,1978-03-01,0.0017479251194904904
1658,1978-04-01,0.0017039021149920235
1659,1978-05-01,0.0016657125031363763
1660,1978-06-01,0.0016284348005842894
1661,1978-07-01,0.0015949827900066866
1662,1978-08-01,0.0015668192863860985
1663,1978-09-01,0.00154366676817871
1664,1978-10-01,0.001522486454743318
1665,1978-11-01,0.0015048181019738755
1666,1978-12-01,0.0014906565542437402
1667,1979-01-01,0.0014812508330381347
1668,1979-02-01,0.0014906588084929145
1669,1979-03-01,0.0015084892992990103
1670,1979-04-01,0.0015252808896406666
1671,1979-05-01,0.001535748367141458
1672,1979-06-01,0.0015376407901447782
1673,1979-07-01,0.001535091381626364
1674,1979-08-01,0.0015301791164480337
1675,1979-09-01,0.0015245142384697856
1676,1979-10-01,0.0015155473594048593
1677,1979-11-01,0.001509055545773242
1678,1979-12-01,0.0015030532925135623
1679,1980-01-01,0.001500561325922285
1680,1980-02-01,0.0015424238945667174
1681,1980-03-01,0.0015870779916161615
1682,1980-04-01,0.0016339417852600717
1683,1980-05-01,0.0016656064760263304
1684,1980-06-01,0.0016853086688997563
1685,1980-07-01,0.0016945037997471582
1686,1980-08-01,0.0016995335301538208
1687,1980-09-01,0.0017010281597548728
1688,1980-10-01,0.0017002915998047025
1689,1980-11-01,0.0016982298631923341
1690,1980-12-01,0.001698474283210648
1691,1981-01-01,0.0017001161697987692
1692,1981-02-01,0.0016911862731953415
1693,1981-03-01,0.0016936743229805148
1694,1981-04-01,0.0017007224489407676
1695,1981-05-01,0.001703938022845363
1696,1981-06-01,0.001697636407159213
1697,1981-07-01,0.0016885025389184567
1698,1981-08-01,0.0016790762208383331
1699,1981-09-01,0.001669282896857832
1700,1981-10-01,0.0016571288454812992
1701,1981-11-01,0.0016473372493474201
1702,1981-12-01,0.0016406158486971258
1703,1982-01-01,0.0016372800301353882
1704,1982-02-01,0.0016397040879679438
1705,1982-03-01,0.0016484620933575787
1706,1982-04-01,0.0016613198111648363
1707,1982-05-01,0.0016695449828120195
1708,1982-06-01,0.001668323817518558
1709,1982-07-01,0.0016606399886195816
1710,1982-08-01,0.0016512323667208409
1711,1982-09-01,0.0016381751610659724
1712,1982-10-01,0.0016248974253039938
1713,1982-11-01,0.0016119372497065444
1714,1982-12-01,0.001598566218284442
1715,1983-01-01,0.0015948421146911452
1716,1983-02-01,0.0014335363901085375
1717,1983-03-01,0.001320807903822689
1718,1983-04-01,0.0012431693661781322
1719,1983-05-01,0.001186090072256353
1720,1983-06-01,0.0011351963107020027
1721,1983-07-01,0.001093659896127283
1722,1983-08-01,0.0010627126605679852
1723,1983-09-01,0.0010387157929728026
1724,1983-10-01,0.0010197801392465415
1725,1983-11-01,0.0010080481134325779
1726,1983-12-01,0.0010007179525726177
1727,1984-01-01,9.969359546974344e-4
1728,1984-02-01,9.927879695622297e-4
1729,1984-03-01,9.967268264965841e-4
1730,1984-04-01,0.0010020515307468266
1731,1984-05-01,0.0010048242762625316
1732,1984-06-01,0.0010022008253475602
1733,1984-07-01,9.962042766706383e-4
1734,1984-08-01,9.885938583163005e-4
1735,1984-09-01,9.818284239625963e-4
1736,1984-10-01,9.738731001757381e-4
1737,1984-11-01,9.690953450484763e-4
1738,1984-12-01,9.656518551751798e-4
1739,1985-01-01,9.640154724529439e-4
1740,1985-02-01,9.640648982120729e-4
1741,1985-03-01,9.721665334752317e-4
1742,1985-04-01,9.785561535960645e-4
1743,1985-05-01,9.816285113077698e-4
1744,1985-06-01,9.775915881149323e-4
1745,1985-07-01,9.701476436238241e-4
1746,1985-08-01,9.635391337200047e-4
1747,1985-09-01,9.574233117659988e-4
1748,1985-10-01,9.515387820402407e-4
1749,1985-11-01,9.46447709317902e-4
1750,1985-12-01,9.405759250331045e-4
1751,1986-01-01,9.399615285714674e-4
1752,1986-02-01,9.151178025909984e-4
1753,1986-03-01,9.027974343328668e-4
1754,1986-04-01,9.000949751750805e-4
1755,1986-05-01,8.937335826548981e-4
1756,1986-06-01,8.822756827844265e-4
1757,1986-07-01,8.704891001980094e-4
1758,1986-08-01,8.607160824633063e-4
1759,1986-09-01,8.529723095645445e-4
1760,1986-10-01,8.447177323699631e-4
1761,1986-11-01,8.384971604345983e-4
1762,1986-12-01,8.353541406023836e-4
1763,1987-01-01,8.335353789591673e-4
1764,1987-02-01,8.829022548800673e-4
1765,1987-03-01,9.327544441694483e-4
1766,1987-04-01,9.747196457922194e-4
1767,1987-05-01,0.0010010341281081214
1768,1987-06-01,0.0010133339695148136
1769,1987-07-01,0.0010162278571789905
1770,1987-08-01,0.0010149766879534363
1771,1987-09-01,0.0010115249146199564
1772,1987-10-01,0.0010069857371051664
1773,1987-11-01,0.0010034975932217067
1774,1987-12-01,0.00100180314612859
1775,1988-01-01,0.001005809949731016
