Months.Since.1Jan1840,Year.Month.Day,bp90cm.gm-2
1646,1977-04-01,0.10365962402648322
1647,1977-05-01,0.10366820666325544
1648,1977-06-01,0.10367691670843468
1649,1977-07-01,0.10368576209043459
1650,1977-08-01,0.10369475424712865
1651,1977-09-01,0.10370390595070052
1652,1977-10-01,0.10371322948430121
1653,1977-11-01,0.10372273531049991
1654,1977-12-01,0.10373243130661484
1655,1978-01-01,0.10376912515925837
1656,1978-02-01,0.10380343500475896
1657,1978-03-01,0.10383793138383812
1658,1978-04-01,0.10387194288350875
1659,1978-05-01,0.10390508449122725
1660,1978-06-01,0.10393718744682551
1661,1978-07-01,0.1039682080106808
1662,1978-08-01,0.10399816058674606
1663,1978-09-01,0.10402708210928124
1664,1978-10-01,0.1040550177956568
1665,1978-11-01,0.1040820170988589
1666,1978-12-01,0.1041081329072104
1667,1979-01-01,0.10413997948137672
1668,1979-02-01,0.10416572795521682
1669,1979-03-01,0.1041903597497352
1670,1979-04-01,0.1042139110334861
1671,1979-05-01,0.10423644368970907
1672,1979-06-01,0.1042580328892086
1673,1979-07-01,0.10427875735975009
1674,1979-08-01,0.10429869389903805
1675,1979-09-01,0.10431791492937105
1676,1979-10-01,0.1043364876224469
1677,1979-11-01,0.1043544736829532
1678,1979-12-01,0.1043719293886684
1679,1980-01-01,0.10439055812302153
1680,1980-02-01,0.10440631180320678
1681,1980-03-01,0.1044215828082624
1682,1980-04-01,0.10443639551974251
1683,1980-05-01,0.10445077782170988
1684,1980-06-01,0.10446475878305798
1685,1980-07-01,0.10447836702989975
1686,1980-08-01,0.10449162989310799
1687,1980-09-01,0.10450457303638079
1688,1980-10-01,0.10451722031746762
1689,1980-11-01,0.10452959375632154
1690,1980-12-01,0.10454171356057526
1691,1981-01-01,0.10455359818884075
1692,1981-02-01,0.10456528141983683
1693,1981-03-01,0.10457569053164276
1694,1981-04-01,0.10458589338591698
1695,1981-05-01,0.10459589872775754
1696,1981-06-01,0.1046057151288349
1697,1981-07-01,0.10461535098481438
1698,1981-08-01,0.1046248146278636
1699,1981-09-01,0.10463411434273578
1700,1981-10-01,0.1046432582801271
1701,1981-11-01,0.10465225433570136
1702,1981-12-01,0.10466111004880489
1703,1982-01-01,0.10466983254105523
1704,1982-02-01,0.10467823262468783
1705,1982-03-01,0.10468234536570903
1706,1982-04-01,0.10468633996274498
1707,1982-05-01,0.10469022921814823
1708,1982-06-01,0.10469402286269867
1709,1982-07-01,0.1046977280639392
1710,1982-08-01,0.10470135038674501
1711,1982-09-01,0.1047048944663365
1712,1982-10-01,0.10470836431645877
1713,1982-11-01,0.10471176343293319
1714,1982-12-01,0.10471509484038427
1715,1983-01-01,0.10471836115199946
1716,1983-02-01,0.10472187266386167
1717,1983-03-01,0.10472072917063834
1718,1983-04-01,0.10471950203448271
1719,1983-05-01,0.10471820288549755
1720,1983-06-01,0.10471684149408267
1721,1983-07-01,0.10471542539016325
1722,1983-08-01,0.10471396036882293
1723,1983-09-01,0.10471245103718328
1724,1983-10-01,0.10471090114885308
1725,1983-11-01,0.10470931376952962
1726,1983-12-01,0.10470769137625405
1727,1984-01-01,0.10470603595410401
1728,1984-02-01,0.1047039650402557
1729,1984-03-01,0.10469708389835292
1730,1984-04-01,0.10469019916163555
