Months.Since.1Jan1840,Year.Month.Day,bp90cm.gm-2
1656,1978-02-01,0.007806494665921294
1657,1978-03-01,0.007382427949145501
1658,1978-04-01,0.007025178953741891
1659,1978-05-01,0.006974859742472269
1660,1978-06-01,0.006968628258353022
1661,1978-07-01,0.006909136519854693
1662,1978-08-01,0.006821185497751326
1663,1978-09-01,0.00672894547101501
1664,1978-10-01,0.006628743397488729
1665,1978-11-01,0.00653173931290388
1666,1978-12-01,0.006433846708394093
1667,1979-01-01,0.00633044665651392
1668,1979-02-01,0.006210180014149802
1669,1979-03-01,0.006071124527074202
1670,1979-04-01,0.0060132399928636586
1671,1979-05-01,0.0060880873478496855
1672,1979-06-01,0.00633417058880917
1673,1979-07-01,0.006469799106218813
1674,1979-08-01,0.006523252588133849
1675,1979-09-01,0.00653583398114795
1676,1979-10-01,0.006511119775271638
1677,1979-11-01,0.006482271499220774
1678,1979-12-01,0.006436626171520382
1679,1980-01-01,0.006380028248878197
1680,1980-02-01,0.006487564101551733
1681,1980-03-01,0.006542801831909566
1682,1980-04-01,0.0067634797871299925
1683,1980-05-01,0.0070613506445990695
1684,1980-06-01,0.007295497164520834
1685,1980-07-01,0.007419619596194579
1686,1980-08-01,0.0074814853940441016
1687,1980-09-01,0.007500602565602381
1688,1980-10-01,0.007493483477389274
1689,1980-11-01,0.00746803534616631
1690,1980-12-01,0.007438109478485277
1691,1981-01-01,0.007395623751606481
1692,1981-02-01,0.00726415049953582
1693,1981-03-01,0.007060514210520952
1694,1981-04-01,0.006932224629904343
1695,1981-05-01,0.007067464716276834
1696,1981-06-01,0.007274455657105471
1697,1981-07-01,0.00735317968854098
1698,1981-08-01,0.007359386945607594
1699,1981-09-01,0.007332176294776764
1700,1981-10-01,0.007275792012850026
1701,1981-11-01,0.007216571121093492
1702,1981-12-01,0.00715447718702531
1703,1982-01-01,0.007081527465806808
1704,1982-02-01,0.007001401702024056
1705,1982-03-01,0.006936765826807801
1706,1982-04-01,0.006881801655899581
1707,1982-05-01,0.007108016330976868
1708,1982-06-01,0.007250644179111234
1709,1982-07-01,0.007279552775776601
1710,1982-08-01,0.007258102509339965
1711,1982-09-01,0.007192172772087866
1712,1982-10-01,0.007109042793785158
1713,1982-11-01,0.0070174374058832945
1714,1982-12-01,0.006910454341405729
1715,1983-01-01,0.006817025350734325
1716,1983-02-01,0.006003989978569672
1717,1983-03-01,0.005294237226632957
1718,1983-04-01,0.004813948106348664
1719,1983-05-01,0.004546737114965294
1720,1983-06-01,0.004575227076962809
1721,1983-07-01,0.00455040866813949
1722,1983-08-01,0.0044610167530311435
1723,1983-09-01,0.0043584179612778644
1724,1983-10-01,0.004259971297999766
1725,1983-11-01,0.004184294038782388
1726,1983-12-01,0.0041213812178676566
1727,1984-01-01,0.004059315464323182
1728,1984-02-01,0.003954530663621466
1729,1984-03-01,0.003792522558020059
1730,1984-04-01,0.003707655834644742
1731,1984-05-01,0.0037475996137909247
1732,1984-06-01,0.003933724913117626
1733,1984-07-01,0.0040250757487524874
1734,1984-08-01,0.004043744350539261
1735,1984-09-01,0.004032272867300305
1736,1984-10-01,0.003998439624682054
1737,1984-11-01,0.003967122297576757
1738,1984-12-01,0.003929711142857711
1739,1985-01-01,0.0038768610729695194
1740,1985-02-01,0.0037345773261505876
1741,1985-03-01,0.0036093311199508963
1742,1985-04-01,0.003545472817565469
1743,1985-05-01,0.0035434591454729203
1744,1985-06-01,0.0038178364174265254
1745,1985-07-01,0.003929758090082221
1746,1985-08-01,0.003948016819841084
1747,1985-09-01,0.0039316699265679374
1748,1985-10-01,0.0039013877914374413
1749,1985-11-01,0.003865771163463862
1750,1985-12-01,0.003815222201095374
1751,1986-01-01,0.0037669051766352104
1752,1986-02-01,0.00359688559097887
1753,1986-03-01,0.0034152184960348463
1754,1986-04-01,0.0034237504550214846
1755,1986-05-01,0.003573320367242067
1756,1986-06-01,0.0036306975690333096
1757,1986-07-01,0.0036082806861115245
1758,1986-08-01,0.003561376588089268
1759,1986-09-01,0.003509747183996411
1760,1986-10-01,0.0034518771368018506
1761,1986-11-01,0.003401177864122725
1762,1986-12-01,0.0033577047495939633
1763,1987-01-01,0.0033089389573200895
1764,1987-02-01,0.0034280618003702306
1765,1987-03-01,0.0034505696655291324
1766,1987-04-01,0.0035300491317136018
1767,1987-05-01,0.0036230778882228986
1768,1987-06-01,0.003935539337209385
1769,1987-07-01,0.004103049271522495
1770,1987-08-01,0.004159307006405409
1771,1987-09-01,0.0041645217356039215
1772,1987-10-01,0.004145543193773166
1773,1987-11-01,0.00411927265179839
1774,1987-12-01,0.0040890351192122585
1775,1988-01-01,0.004062920406958014
1776,1988-02-01,0.00418738496219955
1777,1988-03-01,0.004215252847888168
1778,1988-04-01,0.004271192355835629
1779,1988-05-01,0.004526799708195147
1780,1988-06-01,0.004835602186154905
1781,1988-07-01,0.004982178403038386
1782,1988-08-01,0.005040276659083189
1783,1988-09-01,0.00505355087271406
1784,1988-10-01,0.005039083944709967
1785,1988-11-01,0.005022952991994344
1786,1988-12-01,0.004993499361809281
1787,1989-01-01,0.004946246603192762
1788,1989-02-01,0.004912376486226158
1789,1989-03-01,0.004789493332457618
1790,1989-04-01,0.004793378285280571
1791,1989-05-01,0.004971995179648571
1792,1989-06-01,0.005153452200817841
1793,1989-07-01,0.0052384063876994135
1794,1989-08-01,0.005264054812697748
1795,1989-09-01,0.005262907607723163
1796,1989-10-01,0.005240337087918338
1797,1989-11-01,0.005201775542296805
1798,1989-12-01,0.005148833401237651
1799,1990-01-01,0.005090378924756354
1800,1990-02-01,0.00466620469820221
1801,1990-03-01,0.00431544307797025
1802,1990-04-01,0.004051577175695412
1803,1990-05-01,0.004153926776237026
1804,1990-06-01,0.004163327651099694
1805,1990-07-01,0.004101246195762658
1806,1990-08-01,0.004022854111251998
1807,1990-09-01,0.003950666398849825
1808,1990-10-01,0.003884447384933646
1809,1990-11-01,0.003817436649479997
1810,1990-12-01,0.003755169813258606
1811,1991-01-01,0.003688473250643379
1812,1991-02-01,0.003787754103613304
1813,1991-03-01,0.003907770348779696
1814,1991-04-01,0.0040041705837472645
1815,1991-05-01,0.004247011058647856
1816,1991-06-01,0.00440291975276317
1817,1991-07-01,0.004455071215512548
1818,1991-08-01,0.004463717817755988
1819,1991-09-01,0.004453492309440598
1820,1991-10-01,0.004426492635779854
1821,1991-11-01,0.004378236843661781
1822,1991-12-01,0.0043282089151234285
1823,1992-01-01,0.0042691267961620155
1824,1992-02-01,0.004316376827356577
1825,1992-03-01,0.004292614742067322
1826,1992-04-01,0.004356274192400126
1827,1992-05-01,0.004551629072382119
1828,1992-06-01,0.004769021358123441
1829,1992-07-01,0.004889111131724528
1830,1992-08-01,0.004940038551308033
1831,1992-09-01,0.004952534744647595
1832,1992-10-01,0.004946011514827868
1833,1992-11-01,0.004926128630028841
1834,1992-12-01,0.004899017726886011
1835,1993-01-01,0.004853566112910583
1836,1993-02-01,0.0046494439356794155
1837,1993-03-01,0.004434158258398217
1838,1993-04-01,0.004302660357515875
1839,1993-05-01,0.004427489381491976
