Months.Since.1Jan1840,Year.Month.Day,1to10g.gm-2,10to100g.gm-2,100gto1kg.gm-2,1to10kg.gm-2,10to100kg.gm-2,GT100kg.gm-2
1539,1968-05-01,6.719876060518088e-8,1.6987982173006278e-6,4.510410190013521e-5,0.0010835983557550494,0.0030603546251295037,1.7126799929298626e-4
1540,1968-06-01,6.818617720543928e-8,1.72246471128834e-6,4.4416063451667304e-5,0.0010862370427440356,0.0032464835169215504,1.8505765128160487e-4
1541,1968-07-01,6.917311134505347e-8,1.7493906886896316e-6,4.490316534775494e-5,0.0010872303394354873,0.0032980409769157322,1.9377389469831625e-4
1542,1968-08-01,6.974255113350641e-8,1.7673074236696536e-6,4.558348721187823e-5,0.0010892937655130879,0.003296213194911877,1.9867948215544664e-4
1543,1968-09-01,7.049467139620061e-8,1.7860467033527723e-6,4.608374518566973e-5,0.0010912186163688255,0.0032732077152292853,2.0085446958723304e-4
1544,1968-10-01,7.185308918835681e-8,1.8181626508522533e-6,4.656289535607221e-5,0.0010907177694341283,0.003237778952747884,2.006624179535304e-4
1545,1968-11-01,7.35538273442641e-8,1.8591033111174572e-6,4.723008506975845e-5,0.0010876384831290577,0.0032044840793296896,1.9852580577184293e-4
1546,1968-12-01,7.479485769399556e-8,1.892864647496271e-6,4.810934606214719e-5,0.001084800213591356,0.0031755958021428008,1.9540786442355794e-4
1547,1969-01-01,7.495592960329001e-8,1.9037510640259408e-6,4.8951607816905754e-5,0.0010859664571252735,0.0031487072964736327,1.927254360950608e-4
1548,1969-02-01,7.427120590908638e-8,1.9001715505510546e-6,4.9469846570729835e-5,0.001078053761171462,0.0030327316814138536,1.8683428941305492e-4
1549,1969-03-01,7.067290506701692e-8,1.8101886905049743e-6,4.9118116216104096e-5,0.001089246886698164,0.0029771888769211364,1.8630892962581737e-4
1550,1969-04-01,6.968604427858243e-8,1.7728047603882876e-6,4.752876627906578e-5,0.0010980969227651848,0.002930175735320536,1.892885718250374e-4
1551,1969-05-01,6.769903917122144e-8,1.71497693912663e-6,4.535037515567149e-5,0.001092637684461138,0.003058182323524352,1.9338311828826348e-4
1552,1969-06-01,6.823908539416892e-8,1.724510492083361e-6,4.459033085867164e-5,0.0010764985295538187,0.003169823727894478,1.9551020440950178e-4
1553,1969-07-01,6.892417943760172e-8,1.7436430488449687e-6,4.4837911098285356e-5,0.0010655612468410136,0.0031802886126411764,1.9539801674002284e-4
1554,1969-08-01,6.921053833052339e-8,1.7539847554148002e-6,4.532242082455083e-5,0.0010592871073308338,0.0031544341232164767,1.940127272877221e-4
1555,1969-09-01,6.967364071212953e-8,1.7645509147414618e-6,4.561965807792406e-5,0.0010558732421579848,0.0031196333461582498,1.9197935198198712e-4
1556,1969-10-01,7.063764984628697e-8,1.7872133700778292e-6,4.590086093500843e-5,0.0010520669871988578,0.003081703028033297,1.8911004552900188e-4
1557,1969-11-01,7.246906278888706e-8,1.8285654933160248e-6,4.639551688814823e-5,0.0010456905939367535,0.003040502663389865,1.8509915364037257e-4
1558,1969-12-01,7.399768047777332e-8,1.8685160264877793e-6,4.72538675671017e-5,0.0010397614080819996,0.0029989708848406804,1.8049397772938603e-4
1559,1970-01-01,7.434262090095691e-8,1.8906815801021683e-6,4.8353591049217865e-5,0.001039586970824212,0.0029387634044646532,1.7603844684760986e-4
1560,1970-02-01,7.285627703245376e-8,1.8649375888816259e-6,4.8643248884994104e-5,9.932639484498942e-4,0.0026262132118533284,1.5926215533369997e-4
1561,1970-03-01,7.019673563364762e-8,1.7975373686841752e-6,4.7915258901454276e-5,9.668102324616967e-4,0.002357155837342941,1.4786783469129385e-4
1562,1970-04-01,6.735250470285179e-8,1.7146056106767659e-6,4.6077383518656916e-5,9.554488811329945e-4,0.0022267764168559835,1.4240467303512758e-4
1563,1970-05-01,6.716471094009118e-8,1.6969845537319415e-6,4.421606313041317e-5,9.472652573489795e-4,0.002237614759372817,1.3913258904946479e-4
1564,1970-06-01,6.721864331132377e-8,1.6976643086998542e-6,4.341187575028627e-5,9.183410189460055e-4,0.0023674011516741206,1.3553325321204914e-4
1565,1970-07-01,6.739621635786102e-8,1.7032361140456644e-6,4.362562169201686e-5,9.029384279728822e-4,0.002412385403040961,1.3201466341578364e-4
1566,1970-08-01,6.753852529065626e-8,1.7091292408196065e-6,4.388844907036938e-5,8.944582242864309e-4,0.002410814039357605,1.2877055637593307e-4
1567,1970-09-01,6.778757307872483e-8,1.7151977810641882e-6,4.406015853126793e-5,8.900167786121717e-4,0.002395061174361431,1.25943963766872e-4
1568,1970-10-01,6.86075085474184e-8,1.7328575527007643e-6,4.421610120005133e-5,8.863008793699119e-4,0.002373817002991764,1.232373216060332e-4
1569,1970-11-01,7.000663459169847e-8,1.7648338172700328e-6,4.458385664381569e-5,8.814607655374037e-4,0.002349586762694071,1.2024694910635827e-4
1570,1970-12-01,7.155024897135225e-8,1.8023564972487295e-6,4.526205135677573e-5,8.766929400007473e-4,0.0023194337511253165,1.1697347245199396e-4
1571,1971-01-01,7.276653005640163e-8,1.8371056885658498e-6,4.619140458075134e-5,8.747961525888075e-4,0.0022710033899548143,1.1365739969625951e-4
1572,1971-02-01,7.401295769199118e-8,1.8830362723488114e-6,4.951037984708841e-5,0.0010772879897932414,0.002813043673695317,1.5119730902646557e-4
1573,1971-03-01,7.163179339787282e-8,1.8272624137035225e-6,4.9655939732341366e-5,0.0012540341637787096,0.0033602407317780887,2.021249610232707e-4
1574,1971-04-01,6.924095622609765e-8,1.7588182746760045e-6,4.8194738460209634e-5,0.0014111784664438516,0.003918865633374245,2.685919678018958e-4
1575,1971-05-01,6.856138471778474e-8,1.7320027579561946e-6,4.6396830674403606e-5,0.0015390324864084104,0.004465521318027444,3.450662113939048e-4
1576,1971-06-01,6.779045048547707e-8,1.710703577123882e-6,4.515542675473259e-5,0.0016418271191392115,0.005165574594930818,4.217374606127652e-4
1577,1971-07-01,6.809510104361866e-8,1.7204595361193641e-6,4.538002112841746e-5,0.001728099989424517,0.0057406016020464705,4.94344669887374e-4
1578,1971-08-01,6.841989217552789e-8,1.7299459484748257e-6,4.571590980908444e-5,0.0018039586577788065,0.006165900580473363,5.606717112467752e-4
1579,1971-09-01,6.888789825003744e-8,1.7420399957752233e-6,4.5987086004354516e-5,0.0018673371255184129,0.00648476132440298,6.195701361053433e-4
1580,1971-10-01,6.986632192915834e-8,1.7640398353712191e-6,4.626867536243653e-5,0.0019172801490313315,0.00672474977923098,6.702054567616623e-4
