Months.Since.1Jan1840,Year.Month.Day,1to10g.gm-2,10to100g.gm-2,100gto1kg.gm-2,1to10kg.gm-2,10to100kg.gm-2,GT100kg.gm-2
1762,1986-12-01,7.221668748027719e-8,1.8308368954529649e-6,4.4881246934189404e-5,0.004951058888256623,0.060870979348436174,0.04581954870839538
1763,1987-01-01,7.221054499579518e-8,1.8279074245033643e-6,4.489284176757229e-5,0.004950292712130007,0.06085784336998585,0.045819261815379486
1764,1987-02-01,7.231323746808754e-8,1.8269733110057934e-6,4.492088206833281e-5,0.004948721593294656,0.06083084193248246,0.04581904845742522
1765,1987-03-01,7.204075733789512e-8,1.8256945291113392e-6,4.503642487626584e-5,0.004950903586343947,0.06081009980682446,0.045820498036728434
1766,1987-04-01,7.15490448465477e-8,1.8223584898081323e-6,4.512631782650957e-5,0.004953191297324052,0.060789596572776244,0.04582195409415938
1767,1987-05-01,7.098536439251607e-8,1.817543856669847e-6,4.518702062765903e-5,0.00495557847713208,0.06076933464216998,0.04582341697321682
1768,1987-06-01,7.047107648084248e-8,1.811553505646737e-6,4.522201149736355e-5,0.004958044639002517,0.0607493199059615,0.045824887002173714
1769,1987-07-01,7.007888798057423e-8,1.804499297953751e-6,4.523724545156072e-5,0.004960562545115866,0.060729561089388845,0.04582636448914886
1770,1987-08-01,6.982083572907084e-8,1.7966647262411122e-6,4.523750534979595e-5,0.004963104208495685,0.06071006818652674,0.04582784971894848
1771,1987-09-01,6.967034622931634e-8,1.7885700592666934e-6,4.522526544195371e-5,0.004965644385689901,0.060690850446718694,0.04582934295203886
1772,1987-10-01,6.959073528463425e-8,1.780817158097555e-6,4.5201188872557856e-5,0.004968162248468812,0.060671914483256165,0.045830844425380726
1773,1987-11-01,6.955165531072549e-8,1.7739077300948467e-6,4.5165113651503544e-5,0.004970641955908492,0.0606532629600215,0.04583235435425699
1774,1987-12-01,6.953333759856957e-8,1.768140201641356e-6,4.511686854355936e-5,0.004973072531388773,0.0606348940668964,0.04583387293383617
1775,1988-01-01,6.95247494077086e-8,1.7635984953146563e-6,4.5056721003464266e-5,0.004975447270932061,0.06061680174051195,0.04583540033916188
1776,1988-02-01,6.964136574435419e-8,1.7614020999443584e-6,4.4985275427783015e-5,0.004978243299735918,0.0606080680737495,0.04583693845671793
1777,1988-03-01,6.931229027158727e-8,1.7574409607808122e-6,4.4986373935205485e-5,0.004985221880662623,0.060608751833941495,0.04584044597922978
1778,1988-04-01,6.887620789287814e-8,1.752656695890182e-6,4.496474371991169e-5,0.004992087883289189,0.060609997381902994,0.04584396319899886
1779,1988-05-01,6.844706467432233e-8,1.7471316746937739e-6,4.4923231127536425e-5,0.00499884246218096,0.060611770184223104,0.04584749010699997
1780,1988-06-01,6.809843713162711e-8,1.740918551147954e-6,4.486561695964213e-5,0.0050054963179379085,0.060614031011367094,0.0458510266320149
1781,1988-07-01,6.785628671471939e-8,1.734209667808742e-6,4.479487291378057e-5,0.005012066566560823,0.06061673943435345,0.045854572634223587
1782,1988-08-01,6.77088984244249e-8,1.727375740663029e-6,4.471310229047411e-5,0.005018571546978685,0.060619857297436415,0.045858127902890046
1783,1988-09-01,6.762864977137811e-8,1.7208659235428252e-6,4.4621862359662254e-5,0.0050250262718113,0.06062335163229935,0.0458616921584748
1784,1988-10-01,6.758889551641422e-8,1.7150723736842122e-6,4.452242939100481e-5,0.005031439725838879,0.06062719639624837,0.04586526505838932
1785,1988-11-01,6.757072780145742e-8,1.7102392461641558e-6,4.441599780710021e-5,0.005037814199356991,0.06063137272272999,0.045868846204775646
1786,1988-12-01,6.756298160284906e-8,1.7064409772163595e-6,4.4303825393843035e-5,0.005044146289078804,0.06063586784145078,0.0458724351523681
1787,1989-01-01,6.75598712252895e-8,1.7036137476235728e-6,4.418730781916957e-5,0.005050428898037044,0.06064067318144857,0.04587603141473466
1788,1989-02-01,6.70854807384428e-8,1.695236712308691e-6,4.402213676399353e-5,0.005056827483153644,0.06066192526601504,0.045879592965372716
1789,1989-03-01,6.687469997525681e-8,1.687205802123954e-6,4.3810069215181915e-5,0.005062566846117536,0.06068377419470363,0.04588308144909618
1790,1989-04-01,6.684181761388984e-8,1.682745417011628e-6,4.359219516238809e-5,0.005067659817045383,0.06070643149786699,0.04588657558436877
1791,1989-05-01,6.685821225579663e-8,1.6809561805052324e-6,4.339789688695567e-5,0.0050721066660279505,0.060729570662090795,0.045890074734526796
1792,1989-06-01,6.688019039111167e-8,1.6804487619824837e-6,4.323452037393314e-5,0.005076071454932085,0.06075281102169299,0.04589357822193385
1793,1989-07-01,6.689730990554362e-8,1.6804632098197137e-6,4.3096763138510496e-5,0.0050797959073281065,0.060775792811972165,0.04589708532888624
1794,1989-08-01,6.690832358190991e-8,1.6806853287896746e-6,4.297731892413789e-5,0.005083507125777373,0.06079823785502945,0.045900595301291584
1795,1989-09-01,6.69145579362978e-8,1.6809832752659053e-6,4.2871243892448626e-5,0.005087362659243065,0.06081997545071227,0.04590410735530949
1796,1989-10-01,6.69177445603357e-8,1.6812899266406741e-6,4.277611423207884e-5,0.005091438651310599,0.06084093494688925,0.04590762068656343
1797,1989-11-01,6.691924034759935e-8,1.6815672611496496e-6,4.2690968666977684e-5,0.0050957459792368995,0.060861119290424544,0.045911134481103004
1798,1989-12-01,6.691989358634368e-8,1.681796359704661e-6,4.261541409796971e-5,0.005100256069140592,0.06088057475499051,0.04591464792708251
1799,1990-01-01,6.692016195278422e-8,1.6819721652336355e-6,4.254914499530241e-5,0.005104924023982032,0.06089936633265262,0.04591816022612141
1800,1990-02-01,6.674125619614773e-8,1.6793610358236288e-6,4.246217181872277e-5,0.00510957871566037,0.06092799827003148,0.04592159320961172
1801,1990-03-01,6.676357447318178e-8,1.6774465766380007e-6,4.234636190136666e-5,0.005113024124729533,0.06095343406428696,0.04592454740444029
1802,1990-04-01,6.689161620657635e-8,1.6772786368917538e-6,4.224742673448091e-5,0.0051162787938225625,0.0609780095704797,0.04592749826697202
1803,1990-05-01,6.705023794557435e-8,1.6781647604831228e-6,4.217134974745976e-5,0.0051193736839314,0.06100165631021136,0.045930445155413696
1804,1990-06-01,6.719599999306996e-8,1.6796466776263192e-6,4.211459656926446e-5,0.005122396540767051,0.06102430824919555,0.04593338746821025
1805,1990-07-01,6.730649115434007e-8,1.6815379959459355e-6,4.2071611197586585e-5,0.005125432779338436,0.06104593570760524,0.045936324642759596
1806,1990-08-01,6.737843162414778e-8,1.6836949898482548e-6,4.203838722440387e-5,0.005128536979950777,0.061066553742160974,0.04593925615242471
1807,1990-09-01,6.74197980573784e-8,1.6859385604887528e-6,4.201282213299183e-5,0.0051317312076892855,0.061086212830709564,0.04594218150244616
1808,1990-10-01,6.744125351560786e-8,1.6880817965023755e-6,4.199402618908246e-5,0.0051350152925051405,0.06110498394998866,0.04594510022547304
1809,1990-11-01,6.745145720623343e-8,1.689976757103474e-6,4.198164038458773e-5,0.005138378020000658,0.06112294585656126,0.045948011877474854
1810,1990-12-01,6.745596454653213e-8,1.6915401352196897e-6,4.197541195688616e-5,0.005141804829687478,0.061140176985169194,0.045950916034739275
1811,1991-01-01,6.745783336973313e-8,1.6927527600086237e-6,4.1974994691902496e-5,0.005145281819508237,0.06115675129750457,0.04595381229248756
1812,1991-02-01,6.738236572477002e-8,1.6924246955713311e-6,4.19631606674383e-5,0.0051487390390096265,0.06117675932565891,0.04595658676526283
1813,1991-03-01,6.74829294148307e-8,1.6927718670491074e-6,4.1918953879941276e-5,0.005150587426298582,0.061193313945402734,0.04595868362667409
1814,1991-04-01,6.764805370311047e-8,1.6940651464645578e-6,4.188793230305533e-5,0.005152333458064751,0.06120927025281941,0.045960771877271836
1815,1991-05-01,6.782510075302794e-8,1.6959067138608055e-6,4.187140637434399e-5,0.0051540040200769265,0.06122462487325778,0.04596285123519646
1816,1991-06-01,6.797909417616409e-8,1.698095048263783e-6,4.186626103803968e-5,0.005155642579329219,0.061239375912201334,0.04596492144797018
1817,1991-07-01,6.809252665123909e-8,1.7005478489866346e-6,4.186886763429649e-5,0.005157287392300408,0.061253533497648144,0.04596698229475328
1818,1991-08-01,6.816520432571825e-8,1.703154797743686e-6,4.187675180887603e-5,0.00515896313249964,0.06126712122501181,0.04596903358716202
1819,1991-09-01,6.82066344109591e-8,1.705751571711982e-6,4.188868288504857e-5,0.005160681589612218,0.061280172649098796,0.045971075168486725
1820,1991-10-01,6.822804139281904e-8,1.7081645593256906e-6,4.1904227254786045e-5,0.0051624455674452495,0.061292726771937735,0.04597310691151123
1821,1991-11-01,6.823821815775375e-8,1.7102603818060886e-6,4.192328588259557e-5,0.005164252691958549,0.06130482441075246,0.04597512871544445
