Months.Since.1Jan1840,Year.Month.Day,cp90cm.gm-2
1589,1972-07-01,0.0011749644372544305
1590,1972-08-01,0.001227537190183998
1591,1972-09-01,0.0012690647056152985
1592,1972-10-01,0.001300161313185806
1593,1972-11-01,0.0013203925329034034
1594,1972-12-01,0.0013344910916995671
1595,1973-01-01,0.001259401659760981
1596,1973-02-01,0.0012731040670584655
1597,1973-03-01,0.001278987994371399
1598,1973-04-01,0.001296872459863981
1599,1973-05-01,0.001323409806127092
1600,1973-06-01,0.001381706955062738
1601,1973-07-01,0.001422481192833004
1602,1973-08-01,0.0014491543219737188
1603,1973-09-01,0.0014674990276004893
1604,1973-10-01,0.001479441893166604
1605,1973-11-01,0.0014860139285833127
1606,1973-12-01,0.0014874237678837961
1607,1974-01-01,0.0022221290895217648
1608,1974-02-01,0.0020759833747719145
1609,1974-03-01,0.0019362550090652813
1610,1974-04-01,0.0018250315004842328
1611,1974-05-01,0.001765749618513828
1612,1974-06-01,0.0017378556289132006
1613,1974-07-01,0.0017057473273894947
1614,1974-08-01,0.0016714013947197793
1615,1974-09-01,0.001639537814066103
1616,1974-10-01,0.0016076691006684039
1617,1974-11-01,0.001578261263167039
1618,1974-12-01,0.001552292876158404
1619,1975-01-01,0.001519952318652357
1620,1975-02-01,0.0014887576380590325
1621,1975-03-01,0.0014447283237922106
1622,1975-04-01,0.001419141638964649
1623,1975-05-01,0.0014035328981338044
1624,1975-06-01,0.0014282958985872304
1625,1975-07-01,0.0014537659787507249
1626,1975-08-01,0.0014685407197414244
1627,1975-09-01,0.0014775892397283043
1628,1975-10-01,0.0014803389075790728
1629,1975-11-01,0.001478676093063704
1630,1975-12-01,0.0014718828657136341
1631,1976-01-01,0.0016452629808139726
1632,1976-02-01,0.001574019820771532
1633,1976-03-01,0.001505163395982114
1634,1976-04-01,0.0014595268597501145
1635,1976-05-01,0.0014389459721913796
1636,1976-06-01,0.001479789294164663
1637,1976-07-01,0.0015002229961013588
1638,1976-08-01,0.0015022145333497714
1639,1976-09-01,0.001497684349217834
1640,1976-10-01,0.0014870520925826906
1641,1976-11-01,0.0014715502962095255
1642,1976-12-01,0.0014565439614437341
1643,1977-01-01,0.001236327174126369
1644,1977-02-01,0.0012526301928308435
1645,1977-03-01,0.001253394016935398
1646,1977-04-01,0.0012658067566476004
1647,1977-05-01,0.001283889105339688
1648,1977-06-01,0.001335842831844563
1649,1977-07-01,0.001378081321274811
1650,1977-08-01,0.0014071020150527211
1651,1977-09-01,0.0014260077045116896
1652,1977-10-01,0.001435910206945068
1653,1977-11-01,0.0014388151163808724
1654,1977-12-01,0.00143896100442388
1655,1978-01-01,0.0018871490790558908
1656,1978-02-01,0.0017768662847512265
1657,1978-03-01,0.0016761212772779105
1658,1978-04-01,0.0015928931632584015
1659,1978-05-01,0.0015830550527850143
1660,1978-06-01,0.0015834039916227934
1661,1978-07-01,0.0015702025405623312
1662,1978-08-01,0.0015495961167026357
1663,1978-09-01,0.0015276395843640623
1664,1978-10-01,0.001503703261958761
1665,1978-11-01,0.00148040043170479
1666,1978-12-01,0.001456694795699534
1667,1979-01-01,0.0013879185464395656
1668,1979-02-01,0.0013586247456502966
1669,1979-03-01,0.0013266526153538657
1670,1979-04-01,0.0013143038299575597
1671,1979-05-01,0.0013320144339977562
1672,1979-06-01,0.001390416771076481
1673,1979-07-01,0.0014219566271571834
1674,1979-08-01,0.0014341543417189617
1675,1979-09-01,0.0014367021673656057
1676,1979-10-01,0.0014306045204816834
1677,1979-11-01,0.001423455555706271
1678,1979-12-01,0.0014123549427718966
1679,1980-01-01,0.0012340367894083436
1680,1980-02-01,0.0012543209811599783
1681,1980-03-01,0.0012642308814833792
1682,1980-04-01,0.0013092052262599343
1683,1980-05-01,0.0013712082120160298
1684,1980-06-01,0.001419777354604591
1685,1980-07-01,0.0014454220203495732
1686,1980-08-01,0.0014579243056807975
1687,1980-09-01,0.001461499697147377
1688,1980-10-01,0.0014596737171956313
1689,1980-11-01,0.0014540860655357468
1690,1980-12-01,0.0014474693256551388
1691,1981-01-01,0.0015081005077393237
1692,1981-02-01,0.0014794966241983595
1693,1981-03-01,0.001436355068727919
1694,1981-04-01,0.0014099970066338424
1695,1981-05-01,0.0014390170821525123
1696,1981-06-01,0.0014848538988618465
1697,1981-07-01,0.0015021163740918798
1698,1981-08-01,0.0015034460690155614
1699,1981-09-01,0.0014974532499077702
1700,1981-10-01,0.0014851673575641555
1701,1981-11-01,0.0014721411890559965
1702,1981-12-01,0.0014583779372962754
1703,1982-01-01,0.0014394730134866616
1704,1982-02-01,0.001421606027243606
1705,1982-03-01,0.0014071528921919515
1706,1982-04-01,0.0013954769757361766
1707,1982-05-01,0.0014450660322892503
1708,1982-06-01,0.001476282172391918
1709,1982-07-01,0.0014828367604568877
1710,1982-08-01,0.0014781840537056439
1711,1982-09-01,0.0014637931964988167
1712,1982-10-01,0.0014455364670651692
1713,1982-11-01,0.0014253268487986169
1714,1982-12-01,0.0014017279385393922
1715,1983-01-01,0.002238610244791637
1716,1983-02-01,0.0019607897866255586
1717,1983-03-01,0.0017191750997787069
1718,1983-04-01,0.0015578377599403748
1719,1983-05-01,0.0014707537319401758
1720,1983-06-01,0.0014837941227170755
1721,1983-07-01,0.0014773854220876742
1722,1983-08-01,0.001447124727874142
1723,1983-09-01,0.0014116349920241648
1724,1983-10-01,0.0013772820822522196
1725,1983-11-01,0.0013505180850496281
1726,1983-12-01,0.001328060367833367
1727,1984-01-01,0.0013294633860723667
1728,1984-02-01,0.0012915131341994235
1729,1984-03-01,0.0012350930568436602
1730,1984-04-01,0.0012066113458946816
1731,1984-05-01,0.0012210776802114417
1732,1984-06-01,0.001288891168128025
1733,1984-07-01,0.0013217857223991301
1734,1984-08-01,0.0013284362842064515
1735,1984-09-01,0.0013239902044295947
1736,1984-10-01,0.0013114921140845814
1737,1984-11-01,0.001299628883012652
1738,1984-12-01,0.0012854612682397172
1739,1985-01-01,0.0012877289493583876
1740,1985-02-01,0.0012346348064166358
1741,1985-03-01,0.0011900468996010546
1742,1985-04-01,0.0011687508143117626
1743,1985-05-01,0.0011696784313740697
1744,1985-06-01,0.0012696571138644537
1745,1985-07-01,0.0013103022415161837
1746,1985-08-01,0.0013166418132889983
1747,1985-09-01,0.001310222358602914
1748,1985-10-01,0.0012987329402450536
1749,1985-11-01,0.0012852525349437848
1750,1985-12-01,0.001266291745944745
1751,1986-01-01,0.001393549845413328
1752,1986-02-01,0.0013247846196488397
1753,1986-03-01,0.0012519587433365408
1754,1986-04-01,0.0012548380285127391
1755,1986-05-01,0.001319858265262368
1756,1986-06-01,0.0013456432477671036
1757,1986-07-01,0.0013380504396451906
1758,1986-08-01,0.0013194403312812874
1759,1986-09-01,0.001298346377588955
1760,1986-10-01,0.001274604831855546
1761,1986-11-01,0.001253488055740167
1762,1986-12-01,0.001234920133977039
1763,1987-01-01,0.0010233662311536277
1764,1987-02-01,0.001059949411318479
1765,1987-03-01,0.001066540100124437
1766,1987-04-01,0.0010943653715574267
1767,1987-05-01,0.0011279712974795362
1768,1987-06-01,0.0012345548472183809
1769,1987-07-01,0.0012917904422774296
1770,1987-08-01,0.001310650760860935
1771,1987-09-01,0.001311797969401596
1772,1987-10-01,0.0013045924038682193
1773,1987-11-01,0.0012948155435801413
1774,1987-12-01,0.0012835363894462425
1775,1988-01-01,0.0010937949883436965
1776,1988-02-01,0.0011273164625688436
1777,1988-03-01,0.0011350883254055552
1778,1988-04-01,0.0011522203902427487
1779,1988-05-01,0.0012260386348257695
1780,1988-06-01,0.0013175099441102242
1781,1988-07-01,0.0013604385573787513
1782,1988-08-01,0.0013771953871224293
1783,1988-09-01,0.0013807089132340958
1784,1988-10-01,0.0013761097816189706
1785,1988-11-01,0.0013708611898050527
1786,1988-12-01,0.00136173915223196
1787,1989-01-01,0.001297918149109727
1788,1989-02-01,0.0012869428001092017
1789,1989-03-01,0.0012526411426040146
1790,1989-04-01,0.0012533254926716058
1791,1989-05-01,0.0013042172573396846
1792,1989-06-01,0.0013557885815932912
1793,1989-07-01,0.0013797574687201498
1794,1989-08-01,0.0013868093420375783
1795,1989-09-01,0.0013861606305799901
1796,1989-10-01,0.0013794729765700556
1797,1989-11-01,0.0013682597242499343
1798,1989-12-01,0.0013528471177846199
1799,1990-01-01,0.0017538530899202883
1800,1990-02-01,0.001599841588302403
1801,1990-03-01,0.001471440421201264
1802,1990-04-01,0.0013769220579926745
1803,1990-05-01,0.0014176062414387436
1804,1990-06-01,0.0014237676601198477
1805,1990-07-01,0.0014023803274029602
1806,1990-08-01,0.0013738910526881452
1807,1990-09-01,0.0013471556285427739
1808,1990-10-01,0.0013225438895727564
1809,1990-11-01,0.001297580070879133
1810,1990-12-01,0.0012739974896581196
1811,1991-01-01,0.0010939187577312117
1812,1991-02-01,0.0011228594351990146
1813,1991-03-01,0.0011593327120118498
1814,1991-04-01,0.0011897211557249637
1815,1991-05-01,0.0012703095663957843
1816,1991-06-01,0.0013224452519417043
1817,1991-07-01,0.0013401751135119601
1818,1991-08-01,0.0013428677288025213
1819,1991-09-01,0.0013390286193730276
1820,1991-10-01,0.0013298384660289815
1821,1991-11-01,0.0013138343814448614
1822,1991-12-01,0.0012968551034723632
1823,1992-01-01,0.0011481126128921836
1824,1992-02-01,0.0011589960150880122
1825,1992-03-01,0.0011513615606224493
1826,1992-04-01,0.0011708379247898088
1827,1992-05-01,0.0012289324604605868
1828,1992-06-01,0.0012937319402570925
1829,1992-07-01,0.001328996685997003
1830,1992-08-01,0.0013434274279475193
1831,1992-09-01,0.0013463800547109665
1832,1992-10-01,0.0013437711949277568
1833,1992-11-01,0.0013373403605814837
1834,1992-12-01,0.0013287161010462818
1835,1993-01-01,0.001476826924133546
1836,1993-02-01,0.0014103235300313673
1837,1993-03-01,0.001339927249985955
1838,1993-04-01,0.0012988089445481509
1839,1993-05-01,0.0013414855573649174
1840,1993-06-01,0.0013819906783126956
1841,1993-07-01,0.0013871629915933766
1842,1993-08-01,0.0013762483196666062
1843,1993-09-01,0.0013591612212944396
1844,1993-10-01,0.0013377799929335519
1845,1993-11-01,0.0013190027852099252
1846,1993-12-01,0.0012991580629365157
1847,1994-01-01,0.0013712052329953703
1848,1994-02-01,0.0013187868134040641
1849,1994-03-01,0.0012704012689284414
1850,1994-04-01,0.0012465629878941975
1851,1994-05-01,0.001319098930168108
1852,1994-06-01,0.0013834220252067066
1853,1994-07-01,0.0013861436083850605
1854,1994-08-01,0.001367968497815084
1855,1994-09-01,0.0013412504236653263
1856,1994-10-01,0.0013139034619562896
