Months.Since.1Jan1840,Year.Month.Day,cp30to90cm.gm-2
1548,1969-02-01,3.174511611836052e-4
1549,1969-03-01,3.237366966757074e-4
1550,1969-04-01,3.294809263622611e-4
1551,1969-05-01,3.329497734304867e-4
1552,1969-06-01,3.332549301846677e-4
1553,1969-07-01,3.320556571810186e-4
1554,1969-08-01,3.3073366209169586e-4
1555,1969-09-01,3.295055587402974e-4
1556,1969-10-01,3.2798080780784645e-4
1557,1969-11-01,3.2600796995978275e-4
1558,1969-12-01,3.2443480371024795e-4
1559,1970-01-01,2.6429648469185595e-4
1560,1970-02-01,2.779858383632907e-4
1561,1970-03-01,2.9187993390782167e-4
1562,1970-04-01,3.0530230093298635e-4
1563,1970-05-01,3.148241432516045e-4
1564,1970-06-01,3.2032850778084725e-4
1565,1970-07-01,3.239575981564599e-4
1566,1970-08-01,3.264036517215179e-4
1567,1970-09-01,3.280646519849244e-4
1568,1970-10-01,3.2893553960855747e-4
1569,1970-11-01,3.2913519710007106e-4
1570,1970-12-01,3.290528781661658e-4
1571,1971-01-01,3.6057063664903866e-4
1572,1971-02-01,3.539822595052103e-4
1573,1971-03-01,3.510714083818105e-4
1574,1971-04-01,3.508451980813522e-4
1575,1971-05-01,3.498921017956874e-4
1576,1971-06-01,3.46962805785525e-4
1577,1971-07-01,3.4382432461946516e-4
1578,1971-08-01,3.409509743076652e-4
1579,1971-09-01,3.382905846484201e-4
1580,1971-10-01,3.357070771934211e-4
1581,1971-11-01,3.3352881829397586e-4
1582,1971-12-01,3.315493287581041e-4
1583,1972-01-01,1.808891106377759e-4
1584,1972-02-01,2.002421492083552e-4
1585,1972-03-01,2.1997550029794478e-4
1586,1972-04-01,2.3822688667866294e-4
1587,1972-05-01,2.536489386770956e-4
1588,1972-06-01,2.6566459313449506e-4
1589,1972-07-01,2.7522912362966574e-4
1590,1972-08-01,2.8303210908195366e-4
1591,1972-09-01,2.8949163188266437e-4
1592,1972-10-01,2.94387294691443e-4
1593,1972-11-01,2.976145264518539e-4
1594,1972-12-01,3.0045017175309337e-4
1595,1973-01-01,2.8440931019061734e-4
1596,1973-02-01,2.908710224542846e-4
1597,1973-03-01,2.986448601723439e-4
1598,1973-04-01,3.0664815988717427e-4
1599,1973-05-01,3.124095735993518e-4
1600,1973-06-01,3.1621304719988287e-4
1601,1973-07-01,3.187052300512728e-4
1602,1973-08-01,3.2065445365831645e-4
1603,1973-09-01,3.2210857150882934e-4
1604,1973-10-01,3.2299053255694505e-4
