Months.Since.1Jan1840,Year.Month.Day,tpb.gm-2
1539,1968-05-01,0.004362094815245294
1540,1968-06-01,0.004563988709507922
1541,1968-07-01,0.004625770774572036
1542,1968-08-01,0.004631610841510345
1543,1968-09-01,0.004613224989587377
1544,1968-10-01,0.004577616026762315
1545,1968-11-01,0.004539815179035422
1546,1968-12-01,0.004505885021201813
1547,1969-01-01,0.004478333646284149
1548,1969-02-01,0.004349068109538786
1549,1969-03-01,0.004303747577230902
1550,1969-04-01,0.004266936348846277
1551,1969-05-01,0.004391339936720273
1552,1969-06-01,0.004488219329695543
1553,1969-07-01,0.0044879021763823855
1554,1969-08-01,0.0044548834083974025
1555,1969-09-01,0.004414943683675845
1556,1969-10-01,0.004370642686100261
1557,1969-11-01,0.0043195929780247225
1558,1969-12-01,0.004268426750950004
1559,1970-01-01,0.004204711541829811
1560,1970-02-01,0.0038293243758424694
1561,1970-03-01,0.003521620770994442
1562,1970-04-01,0.003372493048319301
1563,1970-05-01,0.003369996554733055
1564,1970-06-01,0.0034664559181751104
1565,1970-07-01,0.003492738494388979
1566,1970-08-01,0.0034797116871909404
1567,1970-09-01,0.003456868824391972
1568,1970-10-01,0.0034293765812845457
1569,1970-11-01,0.0033977170647702106
1570,1970-12-01,0.003360240098405514
1571,1971-01-01,0.003307562258305646
1572,1971-02-01,0.004093000494739878
1573,1971-03-01,0.004867958653989566
1574,1971-04-01,0.005648662709364186
1575,1971-05-01,0.006397821223775332
1576,1971-06-01,0.007276076861171165
1577,1971-07-01,0.008010218617422253
1578,1971-08-01,0.008578049020842627
1579,1971-09-01,0.009019470419570035
1580,1971-10-01,0.009360341840851725
1581,1971-11-01,0.009623606629249774
1582,1971-12-01,0.009809240860236098
1583,1972-01-01,0.009908146297249986
1584,1972-02-01,0.01033288166912287
1585,1972-03-01,0.010770625931425463
1586,1972-04-01,0.01125953240873373
1587,1972-05-01,0.011927693162950465
1588,1972-06-01,0.01262668076864596
1589,1972-07-01,0.01314708521720734
1590,1972-08-01,0.01354258196355337
1591,1972-09-01,0.01385549958973077
1592,1972-10-01,0.01408598346615206
1593,1972-11-01,0.014228224492093206
1594,1972-12-01,0.014327677243706758
1595,1973-01-01,0.014401999221873282
1596,1973-02-01,0.014638646893313028
1597,1973-03-01,0.014813983375292246
1598,1973-04-01,0.015082948781791809
1599,1973-05-01,0.01540606169742519
1600,1973-06-01,0.015971625960801927
1601,1973-07-01,0.01638971332812585
1602,1973-08-01,0.016687188994324836
1603,1973-09-01,0.016908596773253837
1604,1973-10-01,0.01706767472123166
1605,1973-11-01,0.017173403266642562
1606,1973-12-01,0.0172290573280593
1607,1974-01-01,0.017232091953804235
1608,1974-02-01,0.016516674628192986
1609,1974-03-01,0.015810845564178704
1610,1974-04-01,0.015235122283256405
1611,1974-05-01,0.01493614114417692
1612,1974-06-01,0.014786397002146384
1613,1974-07-01,0.014603581115621671
1614,1974-08-01,0.014401272251706784
1615,1974-09-01,0.014208612895481679
1616,1974-10-01,0.014006949793600206
1617,1974-11-01,0.013815247366181851
1618,1974-12-01,0.013644364999755212
1619,1975-01-01,0.013459330062710561
1620,1975-02-01,0.013500829477425256
1621,1975-03-01,0.013448136354225244
1622,1975-04-01,0.013477843916758728
1623,1975-05-01,0.013536607265834798
1624,1975-06-01,0.013814146491838611
1625,1975-07-01,0.014074930380991833
1626,1975-08-01,0.014262371808845382
1627,1975-09-01,0.014407690374737705
1628,1975-10-01,0.014502175196548443
1629,1975-11-01,0.014557694902076344
1630,1975-12-01,0.014571959128594972
1631,1976-01-01,0.014524921509815318
1632,1976-02-01,0.013217576674311057
1633,1976-03-01,0.012086319262105872
1634,1976-04-01,0.011212134292401938
1635,1976-05-01,0.010580906470547798
1636,1976-06-01,0.010333259729650298
1637,1976-07-01,0.010073433979938859
1638,1976-08-01,0.009798655945940354
1639,1976-09-01,0.00955202395726113
1640,1976-10-01,0.009319809821701124
1641,1976-11-01,0.009099811589100636
1642,1976-12-01,0.008917504050213947
1643,1977-01-01,0.008754411143552333
1644,1977-02-01,0.00840135521118388
1645,1977-03-01,0.00803596456507116
1646,1977-04-01,0.007799266905494512
1647,1977-05-01,0.007640316879577909
1648,1977-06-01,0.007688213490934387
1649,1977-07-01,0.007722481694892085
1650,1977-08-01,0.0077214513381141225
1651,1977-09-01,0.007695696601680669
1652,1977-10-01,0.007645114673989269
1653,1977-11-01,0.007578178462280687
1654,1977-12-01,0.007519240955202177
1655,1978-01-01,0.007451469171231355
1656,1978-02-01,0.006890752021455757
1657,1978-03-01,0.006430833453998456
1658,1978-04-01,0.006076655783547342
1659,1978-05-01,0.006019911067508893
1660,1978-06-01,0.006001611476368121
1661,1978-07-01,0.005937003706060849
1662,1978-08-01,0.005853518441904394
1663,1978-09-01,0.00577294702008948
1664,1978-10-01,0.005688326337846823
1665,1978-11-01,0.005610707404210852
1666,1978-12-01,0.005535476777447599
1667,1979-01-01,0.00545883982579073
1668,1979-02-01,0.005274022420606254
1669,1979-03-01,0.005101361167891689
1670,1979-04-01,0.005019069464987093
1671,1979-05-01,0.005056578270080872
1672,1979-06-01,0.005242125492772478
1673,1979-07-01,0.00532005534576324
1674,1979-08-01,0.0053290575146419305
1675,1979-09-01,0.005310441008279866
1676,1979-10-01,0.005264971501587992
1677,1979-11-01,0.00522635830395422
1678,1979-12-01,0.005179287181722566
1679,1980-01-01,0.00513028205978587
1680,1980-02-01,0.004636832936737234
1681,1980-03-01,0.0042505447726554875
1682,1980-04-01,0.004118640954507923
1683,1980-05-01,0.0040993844044108965
