Months.Since.1Jan1840,Year.Month.Day,tcb.gm-2
1584,1972-02-01,0.007985367809874112
1585,1972-03-01,0.008554574949984881
1586,1972-04-01,0.009166525839969854
1587,1972-05-01,0.009939384294335416
1588,1972-06-01,0.010726989257926112
1589,1972-07-01,0.011323250326714033
1590,1972-08-01,0.011783173496313866
1591,1972-09-01,0.01215023324305122
1592,1972-10-01,0.012426485306755566
1593,1972-11-01,0.012608308647524673
1594,1972-12-01,0.012741815591081118
1595,1973-01-01,0.012845102649920816
1596,1973-02-01,0.013016340024704429
1597,1973-03-01,0.013126249671349212
1598,1973-04-01,0.01332825280585692
1599,1973-05-01,0.013582746311504123
1600,1973-06-01,0.014074630241312731
1601,1973-07-01,0.014421886953263886
1602,1973-08-01,0.01465371555544602
1603,1973-09-01,0.014815216569808304
1604,1973-10-01,0.014920578215740287
1605,1973-11-01,0.014979022660149612
1606,1973-12-01,0.014993908011303217
1607,1974-01-01,0.014962590237670388
1608,1974-02-01,0.014029920011026532
1609,1974-03-01,0.013159566676038282
1610,1974-04-01,0.01246290811727957
1611,1974-05-01,0.012066043680506844
1612,1974-06-01,0.011839888319982063
1613,1974-07-01,0.011602904253523581
1614,1974-08-01,0.011365756002310119
1615,1974-09-01,0.011153122586842854
1616,1974-10-01,0.01094456876928595
1617,1974-11-01,0.010755894838446993
1618,1974-12-01,0.010594768581749917
1619,1975-01-01,0.010425953230033645
1620,1975-02-01,0.010253339378003608
1621,1975-03-01,0.010015393329808208
1622,1975-04-01,0.009880897150854892
1623,1975-05-01,0.009794808282367524
1624,1975-06-01,0.009922558745790995
1625,1975-07-01,0.01005056791809863
1626,1975-08-01,0.010122135532782768
1627,1975-09-01,0.01016626757237316
1628,1975-10-01,0.010175021790324593
1629,1975-11-01,0.010159485739790376
1630,1975-12-01,0.010117090930941876
1631,1976-01-01,0.010028607763588718
1632,1976-02-01,0.009650649486983074
1633,1976-03-01,0.009295559102968592
1634,1976-04-01,0.009056939645255327
1635,1976-05-01,0.00894122924938196
1636,1976-06-01,0.00911074720408822
1637,1976-07-01,0.009186070088956238
1638,1976-08-01,0.009178321388002026
1639,1976-09-01,0.009143561820711833
1640,1976-10-01,0.00907871842629839
1641,1976-11-01,0.008990382467552054
1642,1976-12-01,0.008911542988651806
1643,1977-01-01,0.008829484567404544
1644,1977-02-01,0.008977125761566365
1645,1977-03-01,0.009033406198733813
1646,1977-04-01,0.009148753154050634
1647,1977-05-01,0.00928188989375011
1648,1977-06-01,0.009589362006017668
1649,1977-07-01,0.009835702570592379
