Months.Since.1Jan1840,Year.Month.Day,1to10g.gm-2,10to100g.gm-2,100gto1kg.gm-2,1to10kg.gm-2,10to100kg.gm-2,GT100kg.gm-2
1492,1964-06-01,0,0,2.9169075789226113e-6,3.38398389738505e-4,0.0012775375471332025,1.1846177262956643e-4
1493,1964-07-01,0,0,2.917151751007345e-6,3.393969179273422e-4,0.0012983091016121316,1.2083462106525856e-4
1494,1964-08-01,0,0,2.9353412974330954e-6,3.400032899674e-4,0.0013037260124475305,1.2240700672779467e-4
1495,1964-09-01,0,0,2.947926185486293e-6,3.3980540489413644e-4,0.0013008694717510393,1.231644820699249e-4
1496,1964-10-01,0,0,2.966601979374931e-6,3.3876641667245224e-4,0.001293886320297608,1.2316462085800502e-4
1497,1964-11-01,0,0,2.997966421929522e-6,3.3733956666859814e-4,0.0012865689308012318,1.2267405482807077e-4
1498,1964-12-01,0,0,3.035151017455924e-6,3.353651304721604e-4,0.0012763187776691908,1.2172456898650048e-4
1499,1965-01-01,0,0,2.6934556508237188e-6,2.9106660189425783e-4,0.0011017972847839365,1.0520342699822937e-4
1500,1965-02-01,0,0,2.7523219900603293e-6,2.9939288782431113e-4,0.0011172720594856025,1.0787728408298539e-4
1501,1965-03-01,0,0,2.756647722675401e-6,3.087197710168663e-4,0.001109553570839265,1.1178670665175198e-4
1502,1965-04-01,0,0,2.6750194386065965e-6,3.186096280620935e-4,0.001114522490442837,1.1709268795289067e-4
1503,1965-05-01,0,0,2.565868355500865e-6,3.2623927722783436e-4,0.001149047939883468,1.2255644583863767e-4
1504,1965-06-01,0,0,2.525938522265306e-6,3.2901976645881986e-4,0.0012040735335288408,1.270381330791947e-4
1505,1965-07-01,0,0,2.5481492960675834e-6,3.3116198868708404e-4,0.00124057476495967,1.3052005086971604e-4
1506,1965-08-01,0,0,2.573829973362324e-6,3.32713126799792e-4,0.0012609117145679185,1.330696528818404e-4
1507,1965-09-01,0,0,2.590601247758425e-6,3.3336159357107376e-4,0.0012702195485680054,1.3465603948399876e-4
1508,1965-10-01,0,0,2.610652096822273e-6,3.3232192262511385e-4,0.0012701119293712475,1.3498145232675887e-4
1509,1965-11-01,0,0,2.6588903647720712e-6,3.304127137305591e-4,0.0012663563949895968,1.3436326832852767e-4
1510,1965-12-01,0,0,2.717903073723522e-6,3.277043053990012e-4,0.0012591407664084625,1.329810464041681e-4
1511,1966-01-01,0,0,5.282751860840936e-6,6.161486481756124e-4,0.0023610258358612588,2.4854822717434923e-4
1512,1966-02-01,0,0,5.211885735624902e-6,5.268448549632179e-4,0.0019553145306161726,2.05430027334896e-4
1513,1966-03-01,0,0,5.1368477814015445e-6,4.7092226830202944e-4,0.0016289347205123955,1.727417333398515e-4
1514,1966-04-01,0,0,4.912688479147689e-6,4.359301961933683e-4,0.0014272470215731825,1.4841608327648565e-4
1515,1966-05-01,0,0,4.708695521070642e-6,4.112513282815091e-4,0.0013596296895906851,1.296998293009534e-4
1516,1966-06-01,0,0,4.635502297973719e-6,3.8656168790622667e-4,0.001332941347782923,1.1457510526549183e-4
1517,1966-07-01,0,0,4.686622377727566e-6,3.6956334994659e-4,0.001289550708130836,1.0259400844668056e-4
1518,1966-08-01,0,0,4.750280846509401e-6,3.5797001541762046e-4,0.0012474400721652042,9.332485526581691e-5
1519,1966-09-01,0,0,4.789867353954898e-6,3.5005788751406563e-4,0.001212647984761045,8.621362495589711e-5
1520,1966-10-01,0,0,4.820017851167501e-6,3.440752571224466e-4,0.001184472704648809,8.063728070268692e-5
1521,1966-11-01,0,0,4.86459965102645e-6,3.3995696925030126e-4,0.0011650677197464585,7.635973634026866e-5
1522,1966-12-01,0,0,4.90614141177737e-6,3.357133412988095e-4,0.001145914377352228,7.274314155119179e-5
1523,1967-01-01,0,0,5.797202661701051e-6,3.8499669337124564e-4,0.0013005798606370602,8.056672472714571e-5
1524,1967-02-01,0,0,5.889704438933803e-6,3.702385711237337e-4,0.0011920538164484217,7.38574216947075e-5
1525,1967-03-01,0,0,5.8295805623544e-6,3.632967578660989e-4,0.0010901156659096516,6.979080863691702e-5
1526,1967-04-01,0,0,5.622363094863246e-6,3.5974863239052776e-4,0.0010344734310119884,6.760654293094833e-5
1527,1967-05-01,0,0,5.4503475984529985e-6,3.584945831869907e-4,0.0010942485332618324,6.62114801363573e-5
1528,1967-06-01,0,0,5.375684996912251e-6,3.506143687463949e-4,0.0011443144785174603,6.482427912107464e-5
1529,1967-07-01,0,0,5.388060373732074e-6,3.4430332909942513e-4,0.0011432419583178948,6.301110367315753e-5
1530,1967-08-01,0,0,5.465783600465683e-6,3.387891809826714e-4,0.0011244812857622935,6.084881008589143e-5
1531,1967-09-01,0,0,5.568163502870662e-6,3.35587483772836e-4,0.0011057545087750937,5.8861975078872474e-5
1532,1967-10-01,0,0,5.625136093381084e-6,3.335274389851431e-4,0.0010892256911278727,5.712003382698889e-5
1533,1967-11-01,0,0,5.663179265227235e-6,3.3136746177653655e-4,0.0010761966042605305,5.544702489734707e-5
1534,1967-12-01,0,0,5.732350974315868e-6,3.290976163745009e-4,0.0010642935925141298,5.3821999669644656e-5
1535,1968-01-01,0,0,4.5913349487824074e-6,2.5711467239567957e-4,8.217316043354919e-4,4.100836837349544e-5
1536,1968-02-01,0,0,4.803437403161366e-6,2.799009413424164e-4,8.798168639434745e-4,4.4496119891826395e-5
1537,1968-03-01,0,0,4.828452887213458e-6,3.012417534738522e-4,9.294008106047847e-4,4.952451750137375e-5
1538,1968-04-01,0,0,4.652429922833242e-6,3.196343592352004e-4,9.717402812621126e-4,5.613713469322797e-5
1539,1968-05-01,0,0,4.410092089996215e-6,3.2946945968580313e-4,0.001099271843911037,6.288509374605598e-5
1540,1968-06-01,0,0,4.300946940337162e-6,3.3257012843125486e-4,0.0011684362990569044,6.79482903829614e-5
1541,1968-07-01,0,0,4.336067950361443e-6,3.3344998499683056e-4,0.00118795281843027,7.114866515604247e-5
1542,1968-08-01,0,0,4.405436523781079e-6,3.3373204884237524e-4,0.0011874793910022065,7.294986753123571e-5
1543,1968-09-01,0,0,4.453349848475319e-6,3.336196473724858e-4,0.0011789779419346506,7.37484655712023e-5
1544,1968-10-01,0,0,4.486412499982952e-6,3.3254819323681636e-4,0.0011658210580497285,7.367794927487533e-5
1545,1968-11-01,0,0,4.537549213867359e-6,3.305417870827619e-4,0.0011533769382699155,7.289344161495615e-5
1546,1968-12-01,0,0,4.621955164180799e-6,3.285340113517568e-4,0.001142448820641354,7.174861575845631e-5
1547,1969-01-01,0,0,4.9928004835905065e-6,3.468665529225153e-4,0.0011975872742356957,7.485472285697931e-5
1548,1969-02-01,0,0,5.051251587317315e-6,3.426089849951817e-4,0.0011521784766470597,7.256659648857482e-5
1549,1969-03-01,0,0,5.068864475454866e-6,3.4642452850540016e-4,0.0011300875792725719,7.236254630157994e-5
1550,1969-04-01,0,0,4.871603625356561e-6,3.506541381068763e-4,0.0011118274038650774,7.35198418592123e-5
1551,1969-05-01,0,0,4.668063311299187e-6,0.00035179772283566003,0.001162155378463576,7.511016717869236e-5
1552,1969-06-01,0,0,4.567004185340016e-6,3.4799834050459546e-4,0.0012063351978519343,7.593632923246345e-5
1553,1969-07-01,0,0,4.579751153613589e-6,3.4442587239340934e-4,0.0012109934892188176,7.58927554464756e-5
1554,1969-08-01,0,0,4.633405654126707e-6,3.417507006810839e-4,0.0012012052345297807,7.53547078481424e-5
1555,1969-09-01,0,0,4.664380568825432e-6,3.3983722036258e-4,0.0011876897922421241,7.456494315460219e-5
1556,1969-10-01,0,0,4.681501761399682e-6,3.377012096688104e-4,0.001172830889180385,7.345050209439874e-5
1557,1969-11-01,0,0,4.714893706065932e-6,3.345451231203794e-4,0.0011566608196685966,7.189266828265133e-5
1558,1969-12-01,0,0,4.794452224447707e-6,3.313898518273319e-4,0.0011402938852043746,7.010401405252414e-5
1559,1970-01-01,0,0,6.053583180320608e-6,4.0649790627924254e-4,0.0013754304269544889,8.422659382150551e-5
1560,1970-02-01,0,0,6.076374599662842e-6,3.831093589219581e-4,0.0012261063435889804,7.619988194988551e-5
1561,1970-03-01,0,0,6.030412732804025e-6,3.713021438737778e-4,0.0010970265031294767,7.074820458164153e-5
1562,1970-04-01,0,0,5.821118152592074e-6,3.6813730969890025e-4,0.0010346590125853768,6.813432388662795e-5
1563,1970-05-01,0,0,5.540906468240078e-6,3.6582258908192595e-4,0.0010405774497573993,6.656877673630092e-5
1564,1970-06-01,0,0,5.429693123015892e-6,3.556870253254697e-4,0.001103629895155837,6.484665408051749e-5
1565,1970-07-01,0,0,5.459453791362086e-6,3.49206981103365e-4,0.0011258096341999766,6.316316482631443e-5
1566,1970-08-01,0,0,5.496602237427264e-6,3.449715029068723e-4,0.001125341857353849,6.161100340446596e-5
1567,1970-09-01,0,0,5.516593714032532e-6,3.4232642898800826e-4,0.0011178295902103208,6.025860413120751e-5
