Months.Since.1Jan1840,Year.Month.Day,tcb.gm-2
1531,1967-09-01,0.11073346815404242
1532,1967-10-01,0.11076603661758128
1533,1967-11-01,0.11079763246013377
1534,1967-12-01,0.11082834070122304
1535,1968-01-01,0.11085823846558501
1536,1968-02-01,0.11088862039014594
1537,1968-03-01,0.11091528627138464
1538,1968-04-01,0.11094124025735876
1539,1968-05-01,0.11096652384547485
1540,1968-06-01,0.11099117959534659
1541,1968-07-01,0.11101524913057939
1542,1968-08-01,0.11103877191603012
1543,1968-09-01,0.111061784773923
1544,1968-10-01,0.11108432180705577
1545,1968-11-01,0.11110641448063432
1546,1968-12-01,0.11112809174855758
1547,1969-01-01,0.11114938019046469
1548,1969-02-01,0.11117000995831475
1549,1969-03-01,0.11118816288402417
1550,1969-04-01,0.11120598068075058
1551,1969-05-01,0.11122348151624108
1552,1969-06-01,0.11124068218245588
1553,1969-07-01,0.11125759807809718
1554,1969-08-01,0.1112742434706282
1555,1969-09-01,0.11129063171767964
1556,1969-10-01,0.11130677537868006
1557,1969-11-01,0.11132268625537171
1558,1969-12-01,0.11133837540880538
1559,1970-01-01,0.11135385317947821
1560,1970-02-01,0.11136879187301674
1561,1970-03-01,0.11137872081634127
1562,1970-04-01,0.11138844899405723
1563,1970-05-01,0.11139799444498674
1564,1970-06-01,0.11140737220609581
1565,1970-07-01,0.11141659426965084
1566,1970-08-01,0.11142567029944528
1567,1970-09-01,0.11143460832634247
1568,1970-10-01,0.111443415215562
1569,1970-11-01,0.11145209694823584
1570,1970-12-01,0.11146065880263119
1571,1971-01-01,0.1114694289702419
1572,1971-02-01,0.11147146101302056
1573,1971-03-01,0.11147334747361458
1574,1971-04-01,0.11147510697612831
1575,1971-05-01,0.11147675554122229
1576,1971-06-01,0.11147830582063652
1577,1971-07-01,0.11147976757885333
1578,1971-08-01,0.11148114841908219
1579,1971-09-01,0.11148245437090296
1580,1971-10-01,0.11148369029439621
1581,1971-11-01,0.11148486015985337
1582,1971-12-01,0.11148596726014406
1583,1972-01-01,0.11148687933038495
1584,1972-02-01,0.11147952846395308
1585,1972-03-01,0.11147213468306022
1586,1972-04-01,0.11146472708323596
1587,1972-05-01,0.11145732622077786
1588,1972-06-01,0.11144994508624947
1589,1972-07-01,0.11144259130816811
1590,1972-08-01,0.11143526903679186
1591,1972-09-01,0.11142798016241898
1592,1972-10-01,0.1114207250331457
1593,1972-11-01,0.1114135029041351
1594,1972-12-01,0.11140631226668071
1595,1973-01-01,0.11139574777935525
1596,1973-02-01,0.11138348986552521
1597,1973-03-01,0.11137141273952036
1598,1973-04-01,0.11135956032276409
1599,1973-05-01,0.11134795678451896
1600,1973-06-01,0.1113366105618252
1601,1973-07-01,0.11132551999574754
1602,1973-08-01,0.11131467785946149
1603,1973-09-01,0.11130407412668189
1604,1973-10-01,0.11129369738488094
1605,1973-11-01,0.11128353550060593
1606,1973-12-01,0.1112735759699441
1607,1974-01-01,0.11125318021931759
1608,1974-02-01,0.11123899228341133
1609,1974-03-01,0.11122514247591399
1610,1974-04-01,0.11121169329583969
1611,1974-05-01,0.11119869708698676
1612,1974-06-01,0.11118619144158343
1613,1974-07-01,0.11117419750813515
1614,1974-08-01,0.11116272131627793
1615,1974-09-01,0.11115175708657958
1616,1974-10-01,0.11114129113219309
1617,1974-11-01,0.11113130529156219
1618,1974-12-01,0.11112177940399055
1619,1975-01-01,0.11109474372305125
1620,1975-02-01,0.1110790594671012
1621,1975-03-01,0.11106368081472952
1622,1975-04-01,0.11104860827472371
1623,1975-05-01,0.11103383721527106
1624,1975-06-01,0.1110193602724452
1625,1975-07-01,0.11100516863213812
1626,1975-08-01,0.11099125256436018
1627,1975-09-01,0.11097760164808669
1628,1975-10-01,0.11096420492171923
1629,1975-11-01,0.110951051030882
1630,1975-12-01,0.11093812837456253
1631,1976-01-01,0.11092406328831239
1632,1976-02-01,0.11092051484231763
1633,1976-03-01,0.1109172360250767
1634,1976-04-01,0.11091420774445429
1635,1976-05-01,0.1109114103926533
1636,1976-06-01,0.11090882522290332
1637,1976-07-01,0.11090643486796221
1638,1976-08-01,0.11090422342514283
1639,1976-09-01,0.11090217638490883
1640,1976-10-01,0.11090028052089189
1641,1976-11-01,0.11089852377399462
1642,1976-12-01,0.11089689513556368
1643,1977-01-01,0.1109050844347316
1644,1977-02-01,0.11091974274605784
1645,1977-03-01,0.11093454058434113
1646,1977-04-01,0.11094945705050234
1647,1977-05-01,0.11096448232853855
1648,1977-06-01,0.11097961576996149
1649,1977-07-01,0.11099486339502437
1650,1977-08-01,0.11101023535406748
1651,1977-09-01,0.11102574356824281
1652,1977-10-01,0.11104139974796687
1653,1977-11-01,0.11105721395622081
1654,1977-12-01,0.11107319378639993
1655,1978-01-01,0.11111594681523954
1656,1978-02-01,0.11115537996034744
1657,1978-03-01,0.11119495900321003
1658,1978-04-01,0.11123401520906767
1659,1978-05-01,0.11127216618966955
1660,1978-06-01,0.1113092454268124
1661,1978-07-01,0.11134521095346947
1662,1978-08-01,0.11138007854831015
1663,1978-09-01,0.11141388625172158
1664,1978-10-01,0.1114466802352703
1665,1978-11-01,0.11147851082976999
