Year,Sector,region,SAUP,FGroup,Reported,IUU,Discards
1990,industrial,Hawaiian.Longline,840,pelagic>=90cm,59216.8853377912,5428.68533998218,3158.98877062478
1990,industrial,Hawaiian.Longline,840,shark>=90cm,4558.55115594118,114.617319281151,2839.97741332158
1991,industrial,Hawaiian.Longline,840,pelagic30-90cm,12781.1212686621,434.123119470616,149.517969854835
1991,industrial,Hawaiian.Longline,840,pelagic>=90cm,49685.7756905783,5152.36276983731,2990.79969071376
1991,industrial,Hawaiian.Longline,840,shark>=90cm,3175.81263112546,79.8464081441307,1978.53127634655
1992,industrial,Hawaiian.Longline,840,pelagic30-90cm,8709.70127289327,311.778589043264,99.2193902532017
1992,industrial,Hawaiian.Longline,840,pelagic>=90cm,51738.6464432331,4336.75864273542,2842.40146180456
1992,industrial,Hawaiian.Longline,840,shark>=90cm,2778.66978463142,69.8613588561966,1731.11127470628
1993,industrial,Hawaiian.Longline,840,pelagic30-90cm,5224.76651271563,195.569290316118,59.1533998735649
1993,industrial,Hawaiian.Longline,840,pelagic>=90cm,54723.627290196,5636.65054926053,3078.99313037009
1993,industrial,Hawaiian.Longline,840,shark>=90cm,2717.27249705716,68.3206411016254,1692.86075762559
1994,industrial,Hawaiian.Longline,840,pelagic30-90cm,5002.2838444684,193.933570620578,55.7589600276406
1994,industrial,Hawaiian.Longline,840,pelagic>=90cm,72926.5361813718,7445.05161726998,3840.38950937568
1994,industrial,Hawaiian.Longline,840,shark>=90cm,2427.18047995764,61.0225801882189,1512.13346831957
1995,industrial,Hawaiian.Longline,840,pelagic<30cm,0.00423000007867813,0.00033000000985339,4.99999987368938e-05
1995,industrial,Hawaiian.Longline,840,pelagic30-90cm,4757.48296079077,135.208159853497,57.0897899572083
1995,industrial,Hawaiian.Longline,840,pelagic>=90cm,59268.1883617613,5911.43167228744,3053.62621269123
1995,industrial,Hawaiian.Longline,840,shark>=90cm,25.3128799978913,0.865399999856891,1.1673900060814
1996,industrial,Hawaiian.Longline,840,pelagic<30cm,7.32681998951011,0.876569997431943,0.102229999436531
1996,industrial,Hawaiian.Longline,840,pelagic30-90cm,5324.87468127937,151.70277994041,63.8982801504135
1996,industrial,Hawaiian.Longline,840,pelagic>=90cm,45227.1852885236,4090.77292877988,2649.28839567148
1996,industrial,Hawaiian.Longline,840,shark>=90cm,19.2447299679443,0.657899997422646,0.868799996609596
1997,industrial,Hawaiian.Longline,840,pelagic<30cm,32.2609698414744,3.86038001308407,0.61985000356799
1997,industrial,Hawaiian.Longline,840,pelagic30-90cm,10446.5261969906,296.952889327073,125.358179979994
1997,industrial,Hawaiian.Longline,840,pelagic>=90cm,45712.2643914786,4147.1880529562,2539.05451967119
1997,industrial,Hawaiian.Longline,840,shark>=90cm,28.2030499127322,0.964179997863539,1.01124000379059
1998,industrial,Hawaiian.Longline,840,pelagic<30cm,2.90770001657074,0.347359996678279,0.0433399999055837
1998,industrial,Hawaiian.Longline,840,pelagic30-90cm,11992.4681953623,341.145459069834,143.909360052476
1998,industrial,Hawaiian.Longline,840,pelagic>=90cm,46816.5090162159,4303.92511859569,2624.76749345766
1998,industrial,Hawaiian.Longline,840,shark>=90cm,1236.8949274933,31.4596298477845,677.785491156847
1999,industrial,Hawaiian.Longline,840,pelagic30-90cm,4816.37130381892,136.8379301184,57.796079931788
1999,industrial,Hawaiian.Longline,840,pelagic>=90cm,64451.5252518207,6647.94122844188,3396.25655044994
1999,industrial,Hawaiian.Longline,840,shark>=90cm,1197.16382672468,30.7523998958568,695.314345442683
2000,industrial,Hawaiian.Longline,840,pelagic30-90cm,13314.521253143,346.816359923963,159.774609788292
2000,industrial,Hawaiian.Longline,840,pelagic>=90cm,34455.437625945,3245.32850036154,1984.84559942493
2000,industrial,Hawaiian.Longline,840,shark>=90cm,590.04956114537,13.5852399714568,286.293113171883
2001,industrial,Hawaiian.Longline,840,pelagic30-90cm,3831.24307584289,98.4737700217738,45.9750599693798
2001,industrial,Hawaiian.Longline,840,pelagic>=90cm,33645.4258452617,3040.29753190253,1926.59584890982
2001,industrial,Hawaiian.Longline,840,shark>=90cm,346.095929163377,7.52184994963318,167.56123146243
2002,industrial,Hawaiian.Longline,840,pelagic30-90cm,2208.97464170975,63.1311198789954,44.1047100280557
2002,industrial,Hawaiian.Longline,840,pelagic>=90cm,36095.4522554775,3247.15892721232,2038.86143243898
2002,industrial,Hawaiian.Longline,840,shark>=90cm,348.067439574632,7.67140997976821,145.453207961396
2003,industrial,Hawaiian.Longline,840,pelagic30-90cm,2540.03039938309,72.467940000719,51.0555998527743
2003,industrial,Hawaiian.Longline,840,pelagic>=90cm,36865.1414857494,1751.69238978112,2809.5275759516
2003,industrial,Hawaiian.Longline,840,shark>=90cm,231.626489081595,5.13700000638346,102.550369250956
2004,industrial,Hawaiian.Longline,840,pelagic30-90cm,2193.57350827574,62.5099999268823,44.9144701194091
2004,industrial,Hawaiian.Longline,840,pelagic>=90cm,24824.1223716727,1278.01850051709,1985.41616858209
2004,industrial,Hawaiian.Longline,840,shark>=90cm,175.556731006862,3.67189999630864,60.731609875922
