Bigeye Mahi BlueShark Skipjack Yellowfin Albacore StripedMarlin Wahoo Swordfish BlueMarlin Lancetfish Opah
1971.45833333333 13.69 22.47 9.659 17.14 18.29 12.51 19.57 23.5 8.615 19.57 8.615 14.06
1971.54166666667 13.78 22.99 9.709 17.28 18.47 12.58 19.79 24.49 8.657 19.79 8.657 14.08
1971.625 13.84 23.48 9.743 17.39 18.6 12.63 19.98 25.32 8.686 19.98 8.686 14.06
1971.70833333333 13.87 23.77 9.764 17.45 18.68 12.66 20.09 25.55 8.704 20.09 8.704 14.06
1971.79166666667 13.86 23.67 9.753 17.43 18.66 12.65 20.08 24.89 8.695 20.08 8.695 14.08
1971.875 13.77 23.24 9.705 17.29 18.51 12.57 19.9 23.85 8.655 19.9 8.655 14.07
1971.95833333333 13.67 22.62 9.653 17.13 18.32 12.49 19.68 22.87 8.611 19.68 8.611 14.07
1972.04166666667 13.56 21.97 9.595 16.96 18.12 12.4 19.43 22.07 8.564 19.43 8.564 14.02
1972.125 13.5 21.63 9.568 16.87 18.02 12.35 19.31 21.76 8.541 19.31 8.541 13.99
1972.20833333333 13.49 21.66 9.56 16.86 18 12.34 19.28 21.93 8.535 19.28 8.535 13.97
1972.29166666667 13.52 21.86 9.572 16.9 18.05 12.36 19.34 22.26 8.545 19.34 8.545 13.96
1972.375 13.57 22.28 9.601 17 18.16 12.41 19.48 22.98 8.569 19.48 8.569 13.96
1972.45833333333 13.65 22.78 9.641 17.12 18.31 12.47 19.66 23.84 8.603 19.66 8.603 13.97
1972.54166666667 13.72 23.29 9.683 17.24 18.46 12.53 19.84 24.76 8.638 19.84 8.638 13.97
1972.625 13.82 23.82 9.736 17.4 18.64 12.62 20.08 25.63 8.683 20.08 8.683 14
1972.70833333333 13.87 24.15 9.763 17.47 18.74 12.66 20.21 25.84 8.706 20.21 8.706 14
1972.79166666667 13.87 24.12 9.763 17.48 18.75 12.66 20.22 25.32 8.706 20.22 8.706 14.04
1972.875 13.78 23.7 9.715 17.34 18.58 12.58 20.02 24.25 8.666 20.02 8.666 14.04
1972.95833333333 13.66 22.96 9.653 17.14 18.34 12.49 19.71 23.2 8.614 19.71 8.614 14.02
1973.04166666667 13.57 22.21 9.607 16.98 18.14 12.41 19.45 22.32 8.577 19.45 8.577 14.01
1973.125 13.54 21.69 9.598 16.9 18.02 12.39 19.28 21.83 8.571 19.28 8.571 14.03
1973.20833333333 13.55 21.54 9.608 16.89 18.01 12.4 19.22 21.84 8.58 19.22 8.58 14.05
1973.29166666667 13.58 21.65 9.623 16.93 18.04 12.42 19.24 22.08 8.593 19.24 8.593 14.06
1973.375 13.64 22.03 9.652 17.02 18.14 12.47 19.36 22.75 8.616 19.36 8.616 14.06
1973.45833333333 13.71 22.55 9.691 17.14 18.28 12.53 19.54 23.68 8.648 19.54 8.648 14.06
1973.54166666667 13.8 23.04 9.744 17.28 18.45 12.61 19.75 24.59 8.693 19.75 8.693 14.08
1973.625 13.87 23.48 9.782 17.4 18.59 12.67 19.93 25.25 8.724 19.93 8.724 14.09
1973.70833333333 13.92 23.74 9.803 17.47 18.68 12.71 20.06 25.42 8.741 20.06 8.741 14.11
1973.79166666667 13.91 23.7 9.796 17.47 18.68 12.7 20.08 24.88 8.735 20.08 8.735 14.13
1973.875 13.85 23.36 9.764 17.39 18.6 12.65 19.98 24.01 8.707 19.98 8.707 14.16
